      Step     Time          Energy          fmax
BFGS:    0 21:25:15     -193.377537        0.817249
BFGS:    1 21:25:17     -193.397386        0.595604
BFGS:    2 21:25:20     -193.477840        1.085375
BFGS:    3 21:25:23     -193.532362        1.389898
BFGS:    4 21:25:26     -193.632856        1.690890
BFGS:    5 21:25:28     -193.814981        1.987702
BFGS:    6 21:25:31     -193.945755        2.383069
BFGS:    7 21:25:34     -194.102352        2.199674
BFGS:    8 21:25:36     -194.736587        2.007675
BFGS:    9 21:25:39     -195.220552        2.216587
BFGS:   10 21:25:42     -195.447361        2.492730
BFGS:   11 21:25:45     -195.621223        2.096703
BFGS:   12 21:25:47     -195.826725        1.643069
BFGS:   13 21:25:50     -195.953632        1.204028
BFGS:   14 21:25:53     -196.060432        0.882983
BFGS:   15 21:25:55     -196.169817        0.808699
BFGS:   16 21:25:58     -196.326156        1.049870
BFGS:   17 21:26:01     -196.596596        1.388120
BFGS:   18 21:26:03     -196.910759        0.953842
BFGS:   19 21:26:06     -196.937904        2.205902
BFGS:   20 21:26:09     -197.034012        1.001227
BFGS:   21 21:26:11     -197.064277        1.191091
BFGS:   22 21:26:14     -197.137420        1.276576
BFGS:   23 21:26:17     -197.325962        2.013318
BFGS:   24 21:26:20     -197.435592        0.776496
BFGS:   25 21:26:22     -197.521904        1.376225
BFGS:   26 21:26:25     -197.551376        0.695872
BFGS:   27 21:26:28     -197.586794        0.702375
BFGS:   28 21:26:31     -197.623623        0.905138
BFGS:   29 21:26:33     -197.670601        0.786313
BFGS:   30 21:26:36     -197.728843        0.599601
BFGS:   31 21:26:39     -197.763008        0.530580
BFGS:   32 21:26:42     -197.798927        0.516879
BFGS:   33 21:26:45     -197.825624        0.521344
BFGS:   34 21:26:48     -197.876882        0.380467
BFGS:   35 21:26:51     -197.901020        0.370809
BFGS:   36 21:26:54     -197.916401        0.280452
BFGS:   37 21:26:56     -197.923364        0.218842
BFGS:   38 21:26:59     -197.932188        0.251079
BFGS:   39 21:27:02     -197.942020        0.282236
BFGS:   40 21:27:05     -197.951908        0.273346
BFGS:   41 21:27:08     -197.960708        0.233120
BFGS:   42 21:27:11     -197.967857        0.212929
BFGS:   43 21:27:14     -197.974142        0.179327
BFGS:   44 21:27:17     -197.977623        0.158935
BFGS:   45 21:27:20     -197.981384        0.143778
BFGS:   46 21:27:23     -197.984241        0.139555
BFGS:   47 21:27:26     -197.986019        0.085084
BFGS:   48 21:27:29     -197.986738        0.062918
BFGS:   49 21:27:32     -197.987200        0.066256
BFGS:   50 21:27:34     -197.987859        0.069090
BFGS:   51 21:27:37     -197.988691        0.101186
BFGS:   52 21:27:40     -197.989378        0.085214
BFGS:   53 21:27:43     -197.989713        0.046867
