      Step     Time          Energy          fmax
BFGS:    0 01:54:21      -11.096649      260.031624
BFGS:    1 01:54:24     -156.887028      167.671507
BFGS:    2 01:54:27     -184.147774       27.176382
BFGS:    3 01:54:29     -187.919328       15.763382
BFGS:    4 01:54:32     -188.933378       12.413930
BFGS:    5 01:54:35     -190.471990        7.589000
BFGS:    6 01:54:38     -191.402641        4.829167
BFGS:    7 01:54:41     -192.015365        3.100010
BFGS:    8 01:54:43     -192.418119        2.010129
BFGS:    9 01:54:46     -192.671221        1.334441
BFGS:   10 01:54:49     -192.804163        0.960935
BFGS:   11 01:54:51     -192.867065        0.585155
BFGS:   12 01:54:54     -192.886719        0.168923
BFGS:   13 01:54:57     -192.892519        0.128088
BFGS:   14 01:54:59     -192.897659        0.228181
BFGS:   15 01:55:02     -192.899935        0.189820
BFGS:   16 01:55:05     -192.900917        0.129165
BFGS:   17 01:55:07     -192.902227        0.067064
BFGS:   18 01:55:10     -192.902990        0.059430
BFGS:   19 01:55:12     -192.903229        0.042452
