      Step     Time          Energy          fmax
BFGS:    0 05:12:00     -194.510740        2.817502
BFGS:    1 05:12:03     -194.894823        1.936194
BFGS:    2 05:12:06     -195.336344        1.287680
BFGS:    3 05:12:09     -195.536556        1.806376
BFGS:    4 05:12:11     -195.791382        2.230293
BFGS:    5 05:12:14     -196.214828        2.332389
BFGS:    6 05:12:17     -196.703769        2.088001
BFGS:    7 05:12:20     -197.121034        1.305866
BFGS:    8 05:12:23     -197.292324        0.888567
BFGS:    9 05:12:26     -197.345173        0.652052
BFGS:   10 05:12:29     -197.407041        0.639997
BFGS:   11 05:12:33     -197.423538        0.529053
BFGS:   12 05:12:36     -197.444103        0.281441
BFGS:   13 05:12:39     -197.450380        0.191572
BFGS:   14 05:12:42     -197.454614        0.171084
BFGS:   15 05:12:44     -197.461775        0.270945
BFGS:   16 05:12:47     -197.470457        0.343867
BFGS:   17 05:12:51     -197.484140        0.346555
BFGS:   18 05:12:53     -197.493770        0.216846
BFGS:   19 05:12:56     -197.499658        0.156757
BFGS:   20 05:12:59     -197.501570        0.130074
BFGS:   21 05:13:02     -197.503927        0.091646
BFGS:   22 05:13:05     -197.506460        0.069049
BFGS:   23 05:13:08     -197.508087        0.034414
