      Step     Time          Energy          fmax
BFGS:    0 15:24:11     -193.007982        0.357383
BFGS:    1 15:24:13     -193.012476        0.320784
BFGS:    2 15:24:16     -193.108873        1.092631
BFGS:    3 15:24:18     -193.157455        1.158369
BFGS:    4 15:24:21     -193.291147        1.556261
BFGS:    5 15:24:24     -193.582960        1.813211
BFGS:    6 15:24:26     -194.016527        1.791104
BFGS:    7 15:24:29     -194.537288        2.091533
BFGS:    8 15:24:31     -195.116462        2.640519
BFGS:    9 15:24:34     -195.679632        2.573806
BFGS:   10 15:24:37     -196.023535        1.748694
BFGS:   11 15:24:40     -196.156442        0.988189
BFGS:   12 15:24:43     -196.260771        0.708464
BFGS:   13 15:24:45     -196.341676        0.783506
BFGS:   14 15:24:48     -196.417879        0.889676
BFGS:   15 15:24:51     -196.508587        0.826244
BFGS:   16 15:24:53     -196.585491        0.636665
BFGS:   17 15:24:56     -196.645033        0.779123
BFGS:   18 15:24:59     -196.721052        0.784189
BFGS:   19 15:25:01     -196.813371        1.105744
BFGS:   20 15:25:04     -196.998188        1.482173
BFGS:   21 15:25:07     -197.158226        1.117557
BFGS:   22 15:25:09     -197.319320        0.685595
BFGS:   23 15:25:12     -197.469091        0.602541
BFGS:   24 15:25:15     -197.677561        0.666685
BFGS:   25 15:25:18     -197.834886        0.412078
BFGS:   26 15:25:21     -197.877796        0.413930
BFGS:   27 15:25:24     -197.892792        0.286586
BFGS:   28 15:25:26     -197.902120        0.314672
BFGS:   29 15:25:29     -197.913028        0.300430
BFGS:   30 15:25:32     -197.919319        0.247356
BFGS:   31 15:25:35     -197.926323        0.152746
BFGS:   32 15:25:38     -197.932169        0.074593
BFGS:   33 15:25:41     -197.935928        0.066940
BFGS:   34 15:25:44     -197.937134        0.062356
BFGS:   35 15:25:47     -197.937612        0.053030
BFGS:   36 15:25:50     -197.938045        0.065122
BFGS:   37 15:25:52     -197.938762        0.079111
BFGS:   38 15:25:55     -197.939516        0.065065
BFGS:   39 15:25:58     -197.939909        0.028905
