      Step     Time          Energy          fmax
BFGS:    0 01:10:40     -205.499660        1.657156
BFGS:    1 01:10:43     -205.570138        1.883330
BFGS:    2 01:10:45     -206.090907        1.594565
BFGS:    3 01:10:48     -206.328351        1.932322
BFGS:    4 01:10:51     -206.466813        1.392603
BFGS:    5 01:10:54     -206.633725        1.132738
BFGS:    6 01:10:56     -206.706899        0.628217
BFGS:    7 01:10:59     -206.732503        0.433382
BFGS:    8 01:11:02     -206.757833        0.354381
BFGS:    9 01:11:04     -206.774932        0.345415
BFGS:   10 01:11:07     -206.786845        0.255880
BFGS:   11 01:11:10     -206.789848        0.249519
BFGS:   12 01:11:12     -206.807542        0.513957
BFGS:   13 01:11:15     -206.825856        0.592359
BFGS:   14 01:11:18     -206.847871        0.429003
BFGS:   15 01:11:21     -206.863893        0.232472
BFGS:   16 01:11:23     -206.873496        0.211077
BFGS:   17 01:11:26     -206.882434        0.310917
BFGS:   18 01:11:29     -206.891624        0.231885
BFGS:   19 01:11:31     -206.895297        0.094205
BFGS:   20 01:11:34     -206.896062        0.078354
BFGS:   21 01:11:37     -206.896669        0.065101
BFGS:   22 01:11:39     -206.897334        0.087456
BFGS:   23 01:11:42     -206.897863        0.065367
BFGS:   24 01:11:45     -206.898095        0.023131
      Step     Time          Energy          fmax
BFGS:    0 13:20:20     -205.499660        1.657156
BFGS:    1 13:20:21     -205.570142        1.883333
BFGS:    2 13:20:22     -206.090909        1.594564
BFGS:    3 13:20:23     -206.328351        1.932174
BFGS:    4 13:20:24     -206.466817        1.392501
BFGS:    5 13:20:25     -206.633737        1.132642
BFGS:    6 13:20:26     -206.706907        0.628175
BFGS:    7 13:20:27     -206.732507        0.433373
BFGS:    8 13:20:28     -206.757842        0.354366
BFGS:    9 13:20:29     -206.774938        0.345420
BFGS:   10 13:20:30     -206.786847        0.255858
BFGS:   11 13:20:31     -206.789857        0.249547
BFGS:   12 13:20:32     -206.807548        0.513842
BFGS:   13 13:20:33     -206.825868        0.592327
BFGS:   14 13:20:34     -206.847875        0.429144
BFGS:   15 13:20:35     -206.863893        0.232451
BFGS:   16 13:20:36     -206.873498        0.211104
BFGS:   17 13:20:37     -206.882440        0.310916
BFGS:   18 13:20:38     -206.891629        0.231899
BFGS:   19 13:20:39     -206.895297        0.094205
BFGS:   20 13:20:40     -206.896066        0.078353
BFGS:   21 13:20:41     -206.896671        0.065110
BFGS:   22 13:20:42     -206.897332        0.087441
BFGS:   23 13:20:43     -206.897863        0.065390
BFGS:   24 13:20:44     -206.898097        0.023143
