      Step     Time          Energy          fmax
BFGS:    0 03:25:06     -203.468986        3.767197
BFGS:    1 03:25:07     -204.199788        1.988201
BFGS:    2 03:25:07     -204.693513        1.733018
BFGS:    3 03:25:07     -204.908656        1.546141
BFGS:    4 03:25:08     -205.093583        1.497281
BFGS:    5 03:25:08     -205.335483        1.403974
BFGS:    6 03:25:08     -205.540847        1.197505
BFGS:    7 03:25:09     -205.702365        0.770719
BFGS:    8 03:25:09     -205.757701        0.793936
BFGS:    9 03:25:10     -205.840207        0.910917
BFGS:   10 03:25:10     -205.926915        1.126437
BFGS:   11 03:25:10     -206.008525        1.049304
BFGS:   12 03:25:11     -206.065501        0.746387
BFGS:   13 03:25:11     -206.104352        0.457619
BFGS:   14 03:25:11     -206.120229        0.319845
BFGS:   15 03:25:12     -206.126441        0.204505
BFGS:   16 03:25:12     -206.133352        0.266220
BFGS:   17 03:25:12     -206.140477        0.214821
BFGS:   18 03:25:13     -206.144687        0.138530
BFGS:   19 03:25:13     -206.146915        0.123333
BFGS:   20 03:25:14     -206.149265        0.130901
BFGS:   21 03:25:14     -206.151847        0.152174
BFGS:   22 03:25:14     -206.153497        0.095165
BFGS:   23 03:25:15     -206.154147        0.050638
BFGS:   24 03:25:15     -206.154424        0.046847
