      Step     Time          Energy          fmax
FIRE:    0 03:16:05     -202.879814        0.338305
FIRE:    1 03:16:32     -202.884588        0.297866
FIRE:    2 03:16:59     -202.892035        0.226891
FIRE:    3 03:17:26     -202.899292        0.141959
FIRE:    4 03:17:54     -202.904290        0.095565
FIRE:    5 03:18:21     -202.906528        0.113661
FIRE:    6 03:18:48     -202.906979        0.121873
FIRE:    7 03:19:15     -202.907225        0.102975
FIRE:    8 03:19:42     -202.907672        0.094544
FIRE:    9 03:20:10     -202.908258        0.084798
FIRE:   10 03:20:38     -202.908925        0.095364
FIRE:   11 03:21:05     -202.909603        0.070003
FIRE:   12 03:21:32     -202.910210        0.064261
FIRE:   13 03:22:00     -202.910694        0.072990
FIRE:   14 03:22:26     -202.911068        0.064656
FIRE:   15 03:22:53     -202.911291        0.069043
FIRE:   16 03:23:20     -202.911397        0.064728
FIRE:   17 03:23:48     -202.911473        0.062561
FIRE:   18 03:24:15     -202.911633        0.062152
FIRE:   19 03:24:41     -202.911958        0.057269
FIRE:   20 03:25:09     -202.912460        0.052692
FIRE:   21 03:25:36     -202.912992        0.057091
FIRE:   22 03:26:04     -202.913156        0.077572
FIRE:   23 03:26:31     -202.912917        0.151671
FIRE:   24 03:26:59     -202.912927        0.059198
FIRE:   25 03:27:26     -202.912950        0.087639
FIRE:   26 03:27:53     -202.912965        0.127751
FIRE:   27 03:28:21     -202.912966        0.068954
FIRE:   28 03:28:49     -202.912935        0.065792
FIRE:   29 03:29:16     -202.912871        0.104688
FIRE:   30 03:29:43     -202.912775        0.051284
FIRE:   31 03:30:10     -202.912629        0.085134
FIRE:   32 03:30:37     -202.912448        0.082789
FIRE:   33 03:31:04     -202.912230        0.062174
FIRE:   34 03:31:31     -202.911977        0.073055
FIRE:   35 03:31:58     -202.911681        0.087233
FIRE:   36 03:32:26     -202.911326        0.067780
FIRE:   37 03:32:53     -202.910902        0.089383
FIRE:   38 03:33:20     -202.910407        0.166221
FIRE:   39 03:33:48     -202.910510        0.040688
