      Step     Time          Energy          fmax
FIRE:    0 02:51:10     -202.648905        1.185484
FIRE:    1 02:51:37     -202.671475        0.845206
FIRE:    2 02:52:04     -202.700455        0.563132
FIRE:    3 02:52:30     -202.723475        0.689471
FIRE:    4 02:52:56     -202.741525        0.606176
FIRE:    5 02:53:23     -202.760514        0.781134
FIRE:    6 02:53:50     -202.786040        0.428150
FIRE:    7 02:54:16     -202.811337        0.503927
FIRE:    8 02:54:43     -202.832958        0.700193
FIRE:    9 02:55:09     -202.834861        0.660609
FIRE:   10 02:55:37     -202.837749        0.583670
FIRE:   11 02:56:04     -202.841252        0.475048
FIRE:   12 02:56:30     -202.845800        0.444438
FIRE:   13 02:56:57     -202.851159        0.394903
FIRE:   14 02:57:23     -202.856400        0.436509
FIRE:   15 02:57:50     -202.861252        0.457358
FIRE:   16 02:58:17     -202.866872        0.341024
FIRE:   17 02:58:43     -202.869208        0.335110
FIRE:   18 02:59:10     -202.870893        0.303798
FIRE:   19 02:59:37     -202.872814        0.279690
FIRE:   20 03:00:03     -202.875353        0.242388
FIRE:   21 03:00:30     -202.878031        0.272791
FIRE:   22 03:00:57     -202.880771        0.188098
FIRE:   23 03:01:24     -202.882814        0.304388
FIRE:   24 03:01:51     -202.884262        0.449751
FIRE:   25 03:02:18     -202.884723        0.235029
FIRE:   26 03:02:45     -202.885104        0.275456
FIRE:   27 03:03:12     -202.885509        0.394461
FIRE:   28 03:03:39     -202.886177        0.280195
FIRE:   29 03:04:06     -202.886686        0.155967
FIRE:   30 03:04:32     -202.887002        0.275179
FIRE:   31 03:04:59     -202.887416        0.223154
FIRE:   32 03:05:26     -202.887710        0.141989
FIRE:   33 03:05:53     -202.888043        0.247168
FIRE:   34 03:06:20     -202.888495        0.098017
FIRE:   35 03:06:47     -202.888958        0.263367
FIRE:   36 03:07:14     -202.889453        0.112053
FIRE:   37 03:07:40     -202.889945        0.195999
FIRE:   38 03:08:07     -202.890337        0.298118
FIRE:   39 03:08:33     -202.890383        0.134695
FIRE:   40 03:09:00     -202.890441        0.143478
FIRE:   41 03:09:27     -202.890450        0.129770
FIRE:   42 03:09:54     -202.890465        0.106835
FIRE:   43 03:10:21     -202.890483        0.085227
FIRE:   44 03:10:48     -202.890505        0.078651
FIRE:   45 03:11:14     -202.890536        0.086971
FIRE:   46 03:11:41     -202.890568        0.094884
FIRE:   47 03:12:08     -202.890607        0.093117
FIRE:   48 03:12:36     -202.890646        0.079606
FIRE:   49 03:13:02     -202.890697        0.065483
FIRE:   50 03:13:29     -202.890754        0.072954
FIRE:   51 03:13:56     -202.890813        0.085221
FIRE:   52 03:14:23     -202.890881        0.076069
FIRE:   53 03:14:49     -202.890957        0.047438
