      Step     Time          Energy          fmax
BFGS:    0 13:32:52     -197.879549       14.314701
BFGS:    1 13:32:55     -201.740515        2.561233
BFGS:    2 13:32:58     -201.902576        2.270941
BFGS:    3 13:33:00     -202.111746        2.336918
BFGS:    4 13:33:03     -202.228719        1.746312
BFGS:    5 13:33:05     -202.361912        1.625843
BFGS:    6 13:33:08     -202.659048        0.850987
BFGS:    7 13:33:11     -202.747215        0.563058
BFGS:    8 13:33:13     -202.785934        0.499214
BFGS:    9 13:33:16     -202.818836        0.607181
BFGS:   10 13:33:18     -202.858805        0.483898
BFGS:   11 13:33:21     -202.869299        0.215095
BFGS:   12 13:33:24     -202.873139        0.165497
BFGS:   13 13:33:26     -202.875972        0.150689
BFGS:   14 13:33:29     -202.878304        0.143340
BFGS:   15 13:33:32     -202.879375        0.069778
BFGS:   16 13:33:35     -202.879622        0.031410
