      Step     Time          Energy          fmax
BFGS:    0 14:25:54     -202.031105        4.266896
BFGS:    1 14:25:57     -202.049133        4.904561
BFGS:    2 14:26:00     -202.214753        2.564064
BFGS:    3 14:26:02     -202.440805        3.634986
BFGS:    4 14:26:05     -202.690367        4.338839
BFGS:    5 14:26:08     -202.788556        1.175211
BFGS:    6 14:26:11     -202.833041        0.468813
BFGS:    7 14:26:13     -202.843203        0.423605
BFGS:    8 14:26:16     -202.867940        0.777743
BFGS:    9 14:26:19     -202.876428        0.555205
BFGS:   10 14:26:22     -202.882907        0.225143
BFGS:   11 14:26:24     -202.889176        0.416677
BFGS:   12 14:26:27     -202.899459        0.705911
BFGS:   13 14:26:30     -202.907774        0.569890
BFGS:   14 14:26:32     -202.911528        0.208491
BFGS:   15 14:26:35     -202.912237        0.042082
