      Step     Time          Energy          fmax
BFGS:    0 22:49:07       39.098862       43.934009
BFGS:    1 22:49:10       34.791641       48.196910
BFGS:    2 22:49:12      -55.387131      455.632973
BFGS:    3 22:49:15     -149.849289      254.260240
BFGS:    4 22:49:18     -178.816166       88.111457
BFGS:    5 22:49:21     -189.085972       56.438175
BFGS:    6 22:49:24     -196.140352       27.653081
BFGS:    7 22:49:26     -199.658855       16.387238
BFGS:    8 22:49:29     -201.410177        9.461306
BFGS:    9 22:49:32     -202.164887        5.301799
BFGS:   10 22:49:34     -202.475934        2.661656
BFGS:   11 22:49:37     -202.621742        1.995607
BFGS:   12 22:49:40     -202.670585        2.088531
BFGS:   13 22:49:42     -202.691080        1.998928
BFGS:   14 22:49:45     -202.717744        2.184311
BFGS:   15 22:49:48     -202.747303        1.918850
BFGS:   16 22:49:51     -202.765825        1.082242
BFGS:   17 22:49:53     -202.785494        0.340007
BFGS:   18 22:49:56     -202.802608        0.736475
BFGS:   19 22:49:59     -202.810991        0.763754
BFGS:   20 22:50:02     -202.815266        0.572427
BFGS:   21 22:50:04     -202.817405        0.231276
BFGS:   22 22:50:07     -202.818224        0.071894
BFGS:   23 22:50:10     -202.818583        0.105400
BFGS:   24 22:50:13     -202.818804        0.103728
BFGS:   25 22:50:15     -202.819045        0.065764
BFGS:   26 22:50:18     -202.819272        0.026645
