      Step     Time          Energy          fmax
BFGS:    0 21:05:40     -202.025038        4.238038
BFGS:    1 21:05:42     -202.044025        4.875523
BFGS:    2 21:05:45     -202.209608        2.551386
BFGS:    3 21:05:48     -202.440125        3.648631
BFGS:    4 21:05:50     -202.680731        4.184925
BFGS:    5 21:05:53     -202.771937        0.980972
BFGS:    6 21:05:56     -202.808746        0.356181
BFGS:    7 21:05:58     -202.820594        0.553317
BFGS:    8 21:06:01     -202.845287        0.688314
BFGS:    9 21:06:03     -202.852070        0.397547
BFGS:   10 21:06:06     -202.857140        0.226698
BFGS:   11 21:06:09     -202.864248        0.485498
BFGS:   12 21:06:11     -202.874521        0.634619
BFGS:   13 21:06:14     -202.881899        0.444981
BFGS:   14 21:06:17     -202.884732        0.125095
BFGS:   15 21:06:19     -202.885406        0.054278
BFGS:   16 21:06:22     -202.885786        0.091418
BFGS:   17 21:06:24     -202.886234        0.102869
BFGS:   18 21:06:27     -202.886447        0.052644
BFGS:   19 21:06:30     -202.886494        0.012807
