T (K),S (eV/K),U (eV),A (eV),Cv (eV/K),G (eV),H (eV),-(G-H(Tref))/T (eV/K),H-H(Tref) (eV)
50,3.199790824375947e-05,0.14528362452983856,0.1436837291176506,4.553794860839844e-05,0.1436837291176506,0.14528362452983856,0.0007031193863245088,-0.033556073904037476
100,0.00011375477987492634,0.14842963218688965,0.137054154199397,8.697062730789185e-05,0.137054154199397,0.14842963218688965,0.00041785544234479026,-0.03041006624698639
150,0.00018160384638716697,0.15400223433971405,0.126761657381639,0.00013300031423568726,0.126761657381639,0.15400223433971405,0.00034718694034824695,-0.024837464094161987
200,0.0002406522542276056,0.16142670810222626,0.11329625725670514,0.0001614689826965332,0.11329625725670514,0.16142670810222626,0.0003277172058858545,-0.01741299033164978
250,0.0002914882364185123,0.16996096074581146,0.09708890164118339,0.0001785680651664734,0.09708890164118339,0.16996096074581146,0.0003270031871707706,-0.008878737688064575
300,0.00033558689050119093,0.17919081449508667,0.0785147473447294,0.00018998980522155762,0.0785147473447294,0.17919081449508667,0.0003344165036304888,0.0003511160612106323
350,0.0003744154862719328,0.18891844153404236,0.057873021338865877,0.0001988336443901062,0.057873021338865877,0.18891844153404236,0.00034561907741431473,0.01007874310016632
400,0.0004091498132296602,0.19905634224414825,0.03539641695228418,0.00020656734704971313,0.03539641695228418,0.19905634224414825,0.00035860820370397963,0.020216643810272217
450,0.0004406643903850493,0.2095656543970108,0.011266678723738627,0.00021374225616455078,0.011266678723738627,0.2095656543970108,0.0003723844882447498,0.030725955963134766
500,0.0004695930678709293,0.2204245924949646,-0.014371941440500052,0.00022055208683013916,-0.014371941440500052,0.2204245924949646,0.00038642327974875215,0.04158489406108856
550,0.000496394777966927,0.23161499202251434,-0.04140213585929553,0.00022698938846588135,-0.04140213585929553,0.23161499202251434,0.0004004396987148574,0.052775293588638306
600,0.0005214064092760672,0.2431173324584961,-0.06972651310714423,0.0002330392599105835,-0.06972651310714423,0.2431173324584961,0.00041427701923503376,0.06427763402462006
650,0.0005448808426330988,0.2549104690551758,-0.09926207865633846,0.00023861974477767944,-0.09926207865633846,0.2549104690551758,0.0004278488878310992,0.07607077062129974
700,0.0005670129416598634,0.2669719457626343,-0.12993711339927005,0.0002437680959701538,-0.12993711339927005,0.2669719457626343,0.0004411097311902087,0.08813224732875824
750,0.0005879569226702725,0.2792792171239853,-0.16168847487871907,0.0002484619617462158,-0.16168847487871907,0.2792792171239853,0.0004540375644167935,0.10043951869010925
800,0.0006078379069578339,0.2918103486299515,-0.19445997693631561,0.0002527162432670593,-0.19445997693631561,0.2918103486299515,0.00046662459421273957,0.11297065019607544
850,0.0006267596544186156,0.30454450845718384,-0.22820119779863945,0.0002565905451774597,-0.22820119779863945,0.30454450845718384,0.0004788716426264888,0.1257048100233078
900,0.0006448098160404871,0.3174625188112259,-0.26286631562521257,0.000260084867477417,-0.26286631562521257,0.3174625188112259,0.000490784460065654,0.13862282037734985
950,0.0006620635727703047,0.33054661750793457,-0.2984137766238548,0.00026322901248931885,-0.2984137766238548,0.33054661750793457,0.0005023720790081378,0.15170691907405853
1000,0.0006785862158790969,0.3437808156013489,-0.3348054002777481,0.0002660825848579407,-0.3348054002777481,0.3437808156013489,0.0005136450987116241,0.16494111716747284
