      Step     Time          Energy          fmax
FIRE:    0 15:18:35     -206.222750        2.921682
FIRE:    1 15:19:04     -206.302373        1.685381
FIRE:    2 15:19:33     -206.348183        0.793945
FIRE:    3 15:20:01     -206.371846        1.119810
FIRE:    4 15:20:30     -206.395472        0.927198
FIRE:    5 15:20:59     -206.421992        0.377205
FIRE:    6 15:21:27     -206.421809        0.357979
FIRE:    7 15:21:56     -206.422698        0.316081
FIRE:    8 15:22:24     -206.424075        0.237557
FIRE:    9 15:22:53     -206.425320        0.135046
FIRE:   10 15:23:21     -206.425910        0.098845
FIRE:   11 15:23:50     -206.425793        0.179420
FIRE:   12 15:24:18     -206.425830        0.175256
FIRE:   13 15:24:46     -206.425895        0.167107
FIRE:   14 15:25:15     -206.425986        0.155352
FIRE:   15 15:25:43     -206.426091        0.140445
FIRE:   16 15:26:12     -206.426203        0.123075
FIRE:   17 15:26:40     -206.426306        0.103971
FIRE:   18 15:27:08     -206.426392        0.084105
FIRE:   19 15:27:37     -206.426469        0.062390
FIRE:   20 15:28:06     -206.426528        0.048159
