      Step     Time          Energy          fmax
FIRE:    0 23:54:20     -206.425534        0.067141
FIRE:    1 23:54:46     -206.426024        0.047900
      Step     Time          Energy          fmax
FIRE:    0 13:22:53     -206.359586        0.645112
FIRE:    1 13:22:59     -206.374181        0.616869
FIRE:    2 13:23:05     -206.396462        0.543705
FIRE:    3 13:23:11     -206.416404        0.509075
FIRE:    4 13:23:17     -206.423995        0.296524
FIRE:    5 13:23:23     -206.425561        0.155070
FIRE:    6 13:23:29     -206.425706        0.141341
FIRE:    7 13:23:35     -206.425814        0.113793
FIRE:    8 13:23:41     -206.425889        0.083868
FIRE:    9 13:23:49     -206.425935        0.098908
FIRE:   10 13:23:55     -206.425975        0.111954
FIRE:   11 13:24:01     -206.426005        0.114178
FIRE:   12 13:24:07     -206.426045        0.102633
FIRE:   13 13:24:13     -206.426083        0.073911
FIRE:   14 13:24:19     -206.426114        0.027866
      Step     Time          Energy          fmax
FIRE:    0 13:43:51     -206.175208        0.920728
FIRE:    1 13:43:58     -206.186974        0.589914
FIRE:    2 13:44:05     -206.203212        0.749446
FIRE:    3 13:44:11     -206.221905        0.677372
FIRE:    4 13:44:18     -206.237780        0.549514
FIRE:    5 13:44:26     -206.249423        0.533486
FIRE:    6 13:44:33     -206.259375        0.526206
FIRE:    7 13:44:41     -206.268309        0.504746
FIRE:    8 13:44:50     -206.278037        0.474587
FIRE:    9 13:44:59     -206.288693        0.438941
FIRE:   10 13:45:08     -206.298587        0.398314
FIRE:   11 13:45:16     -206.308131        0.328582
FIRE:   12 13:45:22     -206.317057        0.275844
FIRE:   13 13:45:28     -206.325581        0.218019
FIRE:   14 13:45:35     -206.334225        0.217688
FIRE:   15 13:45:42     -206.343676        0.262670
FIRE:   16 13:45:49     -206.353287        0.158721
FIRE:   17 13:45:57     -206.362948        0.157322
FIRE:   18 13:46:04     -206.371699        0.164614
FIRE:   19 13:46:11     -206.379838        0.157891
FIRE:   20 13:46:18     -206.388198        0.226601
FIRE:   21 13:46:25     -206.395856        0.229348
FIRE:   22 13:46:31     -206.402596        0.196421
FIRE:   23 13:46:40     -206.408015        0.187635
FIRE:   24 13:46:47     -206.413838        0.340459
FIRE:   25 13:46:55     -206.419150        0.542961
FIRE:   26 13:47:04     -206.407750        3.592715
FIRE:   27 13:47:13     -206.421212        0.957989
FIRE:   28 13:47:26     -206.421374        0.544949
FIRE:   29 13:47:34     -206.421603        0.163852
FIRE:   30 13:47:41     -206.421632        0.148290
FIRE:   31 13:47:48     -206.421685        0.119312
FIRE:   32 13:47:54     -206.421759        0.118266
FIRE:   33 13:48:01     -206.421862        0.117903
FIRE:   34 13:48:09     -206.421983        0.117389
FIRE:   35 13:48:17     -206.422107        0.116727
FIRE:   36 13:48:25     -206.422179        0.115894
FIRE:   37 13:48:31     -206.422295        0.114782
FIRE:   38 13:48:37     -206.422465        0.113381
FIRE:   39 13:48:43     -206.422694        0.111632
FIRE:   40 13:49:13     -206.422894        0.109447
FIRE:   41 13:49:22     -206.423146        0.106812
FIRE:   42 13:49:28     -206.423514        0.103755
FIRE:   43 13:49:34     -206.423920        0.100424
FIRE:   44 13:49:40     -206.424365        0.096332
FIRE:   45 13:49:47     -206.424023        0.229627
FIRE:   46 13:49:53     -206.422799        0.220796
FIRE:   47 13:49:59     -206.420584        0.213236
FIRE:   48 13:50:05     -206.417395        0.202233
FIRE:   49 13:50:11     -206.413300        0.178340
FIRE:   50 13:50:17     -206.408587        0.156089
FIRE:   51 13:50:26     -206.403708        0.148852
FIRE:   52 13:50:32     -206.399285        0.112284
FIRE:   53 13:50:38     -206.396071        0.136524
FIRE:   54 13:50:44     -206.394406        0.381716
FIRE:   55 13:50:50     -206.392041        1.211639
FIRE:   56 13:50:56     -206.395676        0.101635
FIRE:   57 13:51:03     -206.395720        0.091294
FIRE:   58 13:51:10     -206.395795        0.075597
FIRE:   59 13:51:17     -206.395869        0.070802
FIRE:   60 13:51:23     -206.395951        0.090579
FIRE:   61 13:51:29     -206.396073        0.095631
FIRE:   62 13:51:35     -206.396224        0.079291
FIRE:   63 13:51:41     -206.396397        0.071954
FIRE:   64 13:51:47     -206.396594        0.088123
FIRE:   65 13:51:54     -206.396830        0.093096
FIRE:   66 13:52:03     -206.397145        0.077016
FIRE:   67 13:52:09     -206.397517        0.074356
FIRE:   68 13:52:15     -206.397954        0.087357
FIRE:   69 13:52:23     -206.398507        0.064710
FIRE:   70 13:52:30     -206.399148        0.086455
FIRE:   71 13:52:39     -206.399945        0.056386
FIRE:   72 13:52:46     -206.400878        0.067175
FIRE:   73 13:52:52     -206.401988        0.076573
FIRE:   74 13:53:01     -206.403294        0.111221
FIRE:   75 13:53:10     -206.404740        0.146886
FIRE:   76 13:53:19     -206.405993        0.405973
FIRE:   77 13:53:26     -206.405274        0.892258
FIRE:   78 13:53:32     -206.408496        0.050650
FIRE:   79 13:53:38     -206.405982        0.819195
FIRE:   80 13:53:44     -206.407149        0.627026
FIRE:   81 13:53:51     -206.408400        0.286487
FIRE:   82 13:53:57     -206.408599        0.127949
FIRE:   83 13:54:03     -206.408612        0.119272
FIRE:   84 13:54:12     -206.408646        0.102601
FIRE:   85 13:54:21     -206.408669        0.083407
FIRE:   86 13:54:34     -206.408702        0.065291
FIRE:   87 13:54:42     -206.408730        0.046248
      Step     Time          Energy          fmax
FIRE:    0 15:29:50     -206.175208        0.920728
FIRE:    1 15:29:57     -206.186974        0.589914
FIRE:    2 15:30:03     -206.203212        0.749446
FIRE:    3 15:30:09     -206.221905        0.677371
FIRE:    4 15:30:15     -206.237780        0.549514
FIRE:    5 15:30:22     -206.249423        0.533486
FIRE:    6 15:30:28     -206.259375        0.526206
FIRE:    7 15:30:34     -206.268309        0.504746
FIRE:    8 15:30:40     -206.278039        0.474587
FIRE:    9 15:30:48     -206.288693        0.438941
FIRE:   10 15:30:54     -206.298587        0.398314
FIRE:   11 15:31:00     -206.308131        0.328582
FIRE:   12 15:31:07     -206.317055        0.275844
FIRE:   13 15:31:16     -206.325581        0.218019
FIRE:   14 15:31:23     -206.334225        0.217697
FIRE:   15 15:31:29     -206.343671        0.262668
FIRE:   16 15:31:35     -206.353289        0.158738
FIRE:   17 15:31:43     -206.362948        0.157412
FIRE:   18 15:31:51     -206.371699        0.164624
FIRE:   19 15:32:01     -206.379836        0.157881
FIRE:   20 15:32:08     -206.388200        0.226729
FIRE:   21 15:32:15     -206.395856        0.229495
FIRE:   22 15:32:22     -206.402596        0.196123
FIRE:   23 15:32:28     -206.408015        0.187271
FIRE:   24 15:32:34     -206.413838        0.339536
FIRE:   25 15:32:41     -206.419148        0.541705
FIRE:   26 15:32:50     -206.407658        3.586670
FIRE:   27 15:33:00     -206.421212        0.962366
FIRE:   28 15:33:07     -206.421370        0.545547
FIRE:   29 15:33:14     -206.421605        0.163513
FIRE:   30 15:33:21     -206.421632        0.148011
FIRE:   31 15:33:28     -206.421681        0.119084
FIRE:   32 15:33:35     -206.421759        0.118266
FIRE:   33 15:33:42     -206.421860        0.117896
FIRE:   34 15:33:50     -206.421983        0.117390
FIRE:   35 15:33:56     -206.422105        0.116722
FIRE:   36 15:34:03     -206.422183        0.115886
FIRE:   37 15:34:10     -206.422299        0.114777
FIRE:   38 15:34:19     -206.422469        0.113376
FIRE:   39 15:34:28     -206.422696        0.111622
FIRE:   40 15:34:37     -206.422890        0.109436
FIRE:   41 15:34:46     -206.423152        0.106806
FIRE:   42 15:34:57     -206.423516        0.103754
FIRE:   43 15:35:07     -206.423924        0.100415
FIRE:   44 15:35:13     -206.424367        0.096318
FIRE:   45 15:35:20     -206.424027        0.229626
FIRE:   46 15:35:26     -206.422799        0.220808
FIRE:   47 15:35:32     -206.420586        0.213261
FIRE:   48 15:35:38     -206.417395        0.202225
FIRE:   49 15:35:45     -206.413302        0.178320
FIRE:   50 15:35:52     -206.408587        0.156094
FIRE:   51 15:35:59     -206.403706        0.148856
FIRE:   52 15:36:06     -206.399287        0.112290
FIRE:   53 15:36:15     -206.396069        0.136847
FIRE:   54 15:36:24     -206.394408        0.382990
FIRE:   55 15:36:30     -206.392049        1.214286
FIRE:   56 15:36:36     -206.395673        0.101605
FIRE:   57 15:36:43     -206.395720        0.091260
FIRE:   58 15:36:51     -206.395795        0.075584
FIRE:   59 15:37:00     -206.395873        0.070785
FIRE:   60 15:37:07     -206.395953        0.090527
FIRE:   61 15:37:14     -206.396069        0.095532
FIRE:   62 15:37:22     -206.396224        0.079300
FIRE:   63 15:37:31     -206.396394        0.071970
FIRE:   64 15:37:39     -206.396592        0.088136
FIRE:   65 15:37:48     -206.396832        0.093152
FIRE:   66 15:37:55     -206.397145        0.076979
FIRE:   67 15:38:01     -206.397515        0.074373
FIRE:   68 15:38:07     -206.397954        0.087337
FIRE:   69 15:38:13     -206.398509        0.064770
FIRE:   70 15:38:19     -206.399146        0.086417
FIRE:   71 15:38:25     -206.399945        0.056348
FIRE:   72 15:38:31     -206.400876        0.067121
FIRE:   73 15:38:37     -206.401992        0.076573
FIRE:   74 15:38:44     -206.403294        0.111327
FIRE:   75 15:38:50     -206.404742        0.147449
FIRE:   76 15:38:56     -206.405991        0.408008
FIRE:   77 15:39:02     -206.405265        0.897313
FIRE:   78 15:39:08     -206.408499        0.050873
FIRE:   79 15:39:14     -206.405972        0.823317
FIRE:   80 15:39:21     -206.407141        0.630136
FIRE:   81 15:39:27     -206.408396        0.287880
FIRE:   82 15:39:33     -206.408604        0.128750
FIRE:   83 15:39:39     -206.408616        0.120007
FIRE:   84 15:39:46     -206.408644        0.103275
FIRE:   85 15:39:52     -206.408675        0.083636
FIRE:   86 15:39:58     -206.408705        0.065438
FIRE:   87 15:40:04     -206.408732        0.046310
