      Step     Time          Energy          fmax
BFGS:    0 18:43:45     -204.144826        2.847647
BFGS:    1 18:43:48     -204.574401        1.936108
BFGS:    2 18:43:52     -204.998969        1.283455
BFGS:    3 18:43:55     -205.141036        1.225004
BFGS:    4 18:43:58     -205.264848        0.858288
BFGS:    5 18:44:02     -205.331191        0.898659
BFGS:    6 18:44:06     -205.409762        1.093936
BFGS:    7 18:44:10     -205.563756        1.619502
BFGS:    8 18:44:14     -205.800452        1.677142
BFGS:    9 18:44:18     -205.993243        1.186354
BFGS:   10 18:44:22     -206.080668        0.713919
BFGS:   11 18:44:25     -206.149123        0.722415
BFGS:   12 18:44:28     -206.233718        0.991420
BFGS:   13 18:44:32     -206.302037        0.891421
BFGS:   14 18:44:35     -206.353244        0.660078
BFGS:   15 18:44:38     -206.374175        0.309435
BFGS:   16 18:44:42     -206.386416        0.419060
BFGS:   17 18:44:45     -206.403825        0.367792
BFGS:   18 18:44:49     -206.411292        0.192957
BFGS:   19 18:44:52     -206.413213        0.106309
BFGS:   20 18:44:56     -206.414698        0.102024
BFGS:   21 18:44:59     -206.416123        0.113552
BFGS:   22 18:45:02     -206.417439        0.092603
BFGS:   23 18:45:06     -206.418193        0.049107
