      Step     Time          Energy          fmax
BFGS:    0 03:38:57     -200.467339        6.526142
BFGS:    1 03:39:00     -202.382046        3.077624
BFGS:    2 03:39:03     -203.237386        1.458557
BFGS:    3 03:39:06     -203.520331        1.598328
BFGS:    4 03:39:09     -203.750546        1.483860
BFGS:    5 03:39:12     -203.959508        1.414920
BFGS:    6 03:39:15     -204.124163        1.401566
BFGS:    7 03:39:18     -204.415801        2.345039
BFGS:    8 03:39:21     -204.848187        2.532263
BFGS:    9 03:39:24     -205.264706        1.964435
BFGS:   10 03:39:26     -205.519347        1.287494
BFGS:   11 03:39:30     -205.706376        1.049492
BFGS:   12 03:39:33     -205.924546        0.766025
BFGS:   13 03:39:36     -206.093606        0.899161
BFGS:   14 03:39:39     -206.211480        0.730647
BFGS:   15 03:39:41     -206.287452        0.460146
BFGS:   16 03:39:44     -206.335671        0.422417
BFGS:   17 03:39:47     -206.365945        0.361751
BFGS:   18 03:39:50     -206.387559        0.285068
BFGS:   19 03:39:52     -206.402663        0.221134
BFGS:   20 03:39:55     -206.413125        0.138981
BFGS:   21 03:39:58     -206.417393        0.074789
BFGS:   22 03:40:00     -206.419179        0.066311
BFGS:   23 03:40:03     -206.420771        0.046838
