      Step     Time          Energy          fmax
BFGS:    0 01:24:04     -194.407780       14.891621
BFGS:    1 01:24:07     -201.671427        5.586675
BFGS:    2 01:24:10     -202.896701        2.697330
BFGS:    3 01:24:13     -203.410603        1.624723
BFGS:    4 01:24:17     -203.680119        1.575776
BFGS:    5 01:24:20     -204.208365        1.728131
BFGS:    6 01:24:23     -204.793134        1.769128
BFGS:    7 01:24:26     -205.260880        1.578541
BFGS:    8 01:24:29     -205.608777        1.306968
BFGS:    9 01:24:33     -205.872334        0.999102
BFGS:   10 01:24:36     -206.074666        0.697919
BFGS:   11 01:24:39     -206.219170        0.496522
BFGS:   12 01:24:42     -206.304080        0.482664
BFGS:   13 01:24:45     -206.334578        0.457240
BFGS:   14 01:24:48     -206.354005        0.402074
BFGS:   15 01:24:51     -206.384164        0.263402
BFGS:   16 01:24:54     -206.400847        0.173674
BFGS:   17 01:24:57     -206.408240        0.116257
BFGS:   18 01:25:00     -206.411624        0.108095
BFGS:   19 01:25:03     -206.414719        0.122580
BFGS:   20 01:25:06     -206.418299        0.092749
BFGS:   21 01:25:09     -206.420516        0.054182
BFGS:   22 01:25:11     -206.421523        0.059937
BFGS:   23 01:25:14     -206.422395        0.075335
BFGS:   24 01:25:17     -206.423707        0.088061
BFGS:   25 01:25:20     -206.425616        0.084460
BFGS:   26 01:25:23     -206.427304        0.063885
BFGS:   27 01:25:26     -206.428029        0.050324
BFGS:   28 01:25:29     -206.428347        0.045604
