      Step     Time          Energy          fmax
BFGS:    0 23:26:10     -191.604722       50.700467
BFGS:    1 23:26:13     -200.895781       13.015645
BFGS:    2 23:26:16     -202.375771        6.611559
BFGS:    3 23:26:19     -203.573394        1.891883
BFGS:    4 23:26:22     -203.961760        2.573195
BFGS:    5 23:26:25     -204.381072        4.180829
BFGS:    6 23:26:28     -204.945573        4.679304
BFGS:    7 23:26:30     -205.454652        4.199587
BFGS:    8 23:26:33     -205.908530        3.425894
BFGS:    9 23:26:36     -206.301495        2.601508
BFGS:   10 23:26:39     -206.629487        1.755540
BFGS:   11 23:26:42     -206.865729        0.904649
BFGS:   12 23:26:44     -206.915576        0.733991
BFGS:   13 23:26:47     -206.946463        0.583771
BFGS:   14 23:26:50     -206.973056        0.431047
BFGS:   15 23:26:52     -206.982161        0.252295
BFGS:   16 23:26:55     -206.986193        0.174111
BFGS:   17 23:26:58     -206.990098        0.171274
BFGS:   18 23:27:01     -206.992989        0.121573
BFGS:   19 23:27:03     -206.994033        0.043638
