      Step     Time          Energy          fmax
BFGS:    0 05:39:40     -193.021385        6.075304
BFGS:    1 05:39:42     -193.956184        2.306370
BFGS:    2 05:39:45     -194.283370        1.137452
BFGS:    3 05:39:48     -194.395439        1.344644
BFGS:    4 05:39:51     -194.460241        1.042705
BFGS:    5 05:39:54     -194.482034        0.251494
BFGS:    6 05:39:57     -194.487724        0.226707
BFGS:    7 05:40:00     -194.494562        0.413558
BFGS:    8 05:40:02     -194.501909        0.480251
BFGS:    9 05:40:05     -194.518775        0.522809
BFGS:   10 05:40:08     -194.533683        0.415320
BFGS:   11 05:40:11     -194.545232        0.262745
BFGS:   12 05:40:13     -194.555305        0.260025
BFGS:   13 05:40:16     -194.566614        0.257778
BFGS:   14 05:40:19     -194.584308        0.330457
BFGS:   15 05:40:21     -194.608034        0.349245
BFGS:   16 05:40:24     -194.630861        0.319957
BFGS:   17 05:40:27     -194.650981        0.356294
BFGS:   18 05:40:29     -194.662799        0.296499
BFGS:   19 05:40:32     -194.670715        0.226225
BFGS:   20 05:40:34     -194.681146        0.172247
BFGS:   21 05:40:37     -194.688091        0.213946
BFGS:   22 05:40:40     -194.689844        0.098313
BFGS:   23 05:40:42     -194.690315        0.025579
      Step     Time          Energy          fmax
BFGS:    0 18:22:48     -193.021387        6.075305
BFGS:    1 18:22:50     -193.956184        2.306371
BFGS:    2 18:22:53     -194.283370        1.137453
BFGS:    3 18:22:56     -194.395441        1.344645
BFGS:    4 18:22:59     -194.460241        1.042706
BFGS:    5 18:23:02     -194.482034        0.251494
BFGS:    6 18:23:05     -194.487726        0.226707
BFGS:    7 18:23:08     -194.494558        0.413560
BFGS:    8 18:23:11     -194.501907        0.480251
BFGS:    9 18:23:13     -194.518777        0.522808
BFGS:   10 18:23:16     -194.533687        0.415263
BFGS:   11 18:23:19     -194.545227        0.262751
BFGS:   12 18:23:22     -194.555307        0.260032
BFGS:   13 18:23:25     -194.566612        0.257566
BFGS:   14 18:23:27     -194.584312        0.330459
BFGS:   15 18:23:30     -194.608034        0.349257
BFGS:   16 18:23:33     -194.630863        0.319960
BFGS:   17 18:23:35     -194.650981        0.356294
BFGS:   18 18:23:38     -194.662797        0.296508
BFGS:   19 18:23:41     -194.670713        0.228801
BFGS:   20 18:23:43     -194.681133        0.171606
BFGS:   21 18:23:46     -194.688062        0.222739
BFGS:   22 18:23:49     -194.689830        0.101163
BFGS:   23 18:23:52     -194.690315        0.020606
