      Step     Time          Energy          fmax
BFGS:    0 02:06:56     -172.594391        0.294143
BFGS:    1 02:06:56     -172.597748        0.114863
BFGS:    2 02:06:56     -172.599075        0.094239
BFGS:    3 02:06:57     -172.600357        0.098974
BFGS:    4 02:06:57     -172.601486        0.084994
BFGS:    5 02:06:57     -172.601883        0.030385
      Step     Time          Energy          fmax
BFGS:    0 15:52:37     -172.594391        0.294143
BFGS:    1 15:52:37     -172.597748        0.114863
BFGS:    2 15:52:37     -172.599075        0.094239
BFGS:    3 15:52:38     -172.600357        0.098974
BFGS:    4 15:52:38     -172.601486        0.084994
BFGS:    5 15:52:38     -172.601883        0.030385
