      Step     Time          Energy          fmax
BFGS:    0 02:34:09     -172.642807        0.587395
BFGS:    1 02:34:09     -172.660065        0.289710
BFGS:    2 02:34:09     -172.671219        0.253366
BFGS:    3 02:34:09     -172.683029        0.442906
BFGS:    4 02:34:10     -172.700516        0.564066
BFGS:    5 02:34:10     -172.712311        0.377846
BFGS:    6 02:34:10     -172.718262        0.135052
BFGS:    7 02:34:11     -172.721298        0.176077
BFGS:    8 02:34:11     -172.726791        0.271934
BFGS:    9 02:34:11     -172.734695        0.308355
BFGS:   10 02:34:12     -172.742523        0.202877
BFGS:   11 02:34:12     -172.747772        0.210628
BFGS:   12 02:34:12     -172.754974        0.330821
BFGS:   13 02:34:13     -172.764465        0.533860
BFGS:   14 02:34:13     -172.775894        0.568585
BFGS:   15 02:34:13     -172.785019        0.368922
BFGS:   16 02:34:14     -172.790588        0.101504
BFGS:   17 02:34:14     -172.791931        0.040840
      Step     Time          Energy          fmax
BFGS:    0 16:19:53     -172.642807        0.587395
BFGS:    1 16:19:53     -172.660065        0.289710
BFGS:    2 16:19:54     -172.671219        0.253366
BFGS:    3 16:19:54     -172.683029        0.442906
BFGS:    4 16:19:54     -172.700516        0.564066
BFGS:    5 16:19:54     -172.712311        0.377846
BFGS:    6 16:19:55     -172.718262        0.135052
BFGS:    7 16:19:55     -172.721298        0.176077
BFGS:    8 16:19:55     -172.726791        0.271934
BFGS:    9 16:19:55     -172.734695        0.308355
BFGS:   10 16:19:56     -172.742523        0.202877
BFGS:   11 16:19:56     -172.747772        0.210628
BFGS:   12 16:19:56     -172.754974        0.330821
BFGS:   13 16:19:57     -172.764465        0.533860
BFGS:   14 16:19:57     -172.775894        0.568585
BFGS:   15 16:19:57     -172.785019        0.368922
BFGS:   16 16:19:57     -172.790588        0.101504
BFGS:   17 16:19:58     -172.791931        0.040840
