      Step     Time          Energy          fmax
BFGS:    0 05:41:40     -172.566696        0.286444
BFGS:    1 05:41:40     -172.570892        0.263072
BFGS:    2 05:41:40     -172.578842        0.402355
BFGS:    3 05:41:41     -172.585907        0.465104
BFGS:    4 05:41:41     -172.597504        0.499934
BFGS:    5 05:41:41     -172.642059        1.030695
BFGS:    6 05:41:41     -172.959671        2.374692
BFGS:    7 05:41:42     -173.088150        2.118304
BFGS:    8 05:41:42     -173.259094        1.700526
BFGS:    9 05:41:42     -173.375458        1.490823
BFGS:   10 05:41:42     -173.550186        1.513766
BFGS:   11 05:41:43     -173.593628        0.608409
BFGS:   12 05:41:43     -173.614227        0.436639
BFGS:   13 05:41:43     -173.630356        0.149438
BFGS:   14 05:41:44     -173.633286        0.166924
BFGS:   15 05:41:44     -173.639206        0.197608
BFGS:   16 05:41:44     -173.644821        0.199427
BFGS:   17 05:41:45     -173.652344        0.225446
BFGS:   18 05:41:45     -173.659302        0.166764
BFGS:   19 05:41:45     -173.665787        0.186026
BFGS:   20 05:41:46     -173.672073        0.200870
BFGS:   21 05:41:46     -173.685333        0.339464
BFGS:   22 05:41:47     -173.700195        0.287735
BFGS:   23 05:41:47     -173.705399        0.096752
BFGS:   24 05:41:47     -173.706284        0.066753
BFGS:   25 05:41:47     -173.707428        0.082867
BFGS:   26 05:41:48     -173.708862        0.100188
BFGS:   27 05:41:48     -173.709976        0.069823
BFGS:   28 05:41:48     -173.710358        0.023066
      Step     Time          Energy          fmax
BFGS:    0 19:26:27     -172.566696        0.286444
BFGS:    1 19:26:27     -172.570892        0.263072
BFGS:    2 19:26:27     -172.578842        0.402355
BFGS:    3 19:26:28     -172.585907        0.465104
BFGS:    4 19:26:28     -172.597504        0.499934
BFGS:    5 19:26:28     -172.642059        1.030695
BFGS:    6 19:26:28     -172.959671        2.374692
BFGS:    7 19:26:29     -173.088150        2.118304
BFGS:    8 19:26:29     -173.259094        1.700526
BFGS:    9 19:26:29     -173.375458        1.490823
BFGS:   10 19:26:30     -173.550186        1.513766
BFGS:   11 19:26:30     -173.593628        0.608409
BFGS:   12 19:26:30     -173.614227        0.436639
BFGS:   13 19:26:31     -173.630356        0.149438
BFGS:   14 19:26:31     -173.633286        0.166924
BFGS:   15 19:26:32     -173.639206        0.197608
BFGS:   16 19:26:32     -173.644821        0.199427
BFGS:   17 19:26:32     -173.652344        0.225446
BFGS:   18 19:26:32     -173.659302        0.166764
BFGS:   19 19:26:33     -173.665787        0.186026
BFGS:   20 19:26:33     -173.672073        0.200870
BFGS:   21 19:26:34     -173.685333        0.339464
BFGS:   22 19:26:34     -173.700195        0.287735
BFGS:   23 19:26:35     -173.705399        0.096752
BFGS:   24 19:26:35     -173.706284        0.066753
BFGS:   25 19:26:35     -173.707428        0.082867
BFGS:   26 19:26:36     -173.708862        0.100188
BFGS:   27 19:26:36     -173.709976        0.069823
BFGS:   28 19:26:37     -173.710358        0.023066
