      Step     Time          Energy          fmax
BFGS:    0 08:40:54     -160.571423        1.524778
BFGS:    1 08:40:55     -160.617082        0.610494
BFGS:    2 08:40:55     -160.671821        0.635238
BFGS:    3 08:40:56     -160.725523        0.719992
BFGS:    4 08:40:56     -160.753607        0.547198
BFGS:    5 08:40:57     -160.772821        0.392396
BFGS:    6 08:40:57     -160.790154        0.618047
BFGS:    7 08:40:58     -160.818264        0.952437
BFGS:    8 08:40:59     -160.868321        1.075992
BFGS:    9 08:40:59     -160.945733        0.889348
BFGS:   10 08:41:00     -161.027445        0.834238
BFGS:   11 08:41:00     -161.091438        0.560426
BFGS:   12 08:41:01     -161.146827        0.589482
BFGS:   13 08:41:01     -161.207867        0.819004
BFGS:   14 08:41:02     -161.281285        0.816984
BFGS:   15 08:41:02     -161.346911        0.751393
BFGS:   16 08:41:03     -161.396126        0.523812
BFGS:   17 08:41:03     -161.423913        0.253680
BFGS:   18 08:41:04     -161.435279        0.253070
BFGS:   19 08:41:04     -161.453335        0.347629
BFGS:   20 08:41:05     -161.467073        0.329093
BFGS:   21 08:41:05     -161.476189        0.144224
BFGS:   22 08:41:06     -161.477775        0.106024
BFGS:   23 08:41:06     -161.479564        0.116058
BFGS:   24 08:41:07     -161.480666        0.134875
BFGS:   25 08:41:07     -161.481601        0.075829
BFGS:   26 08:41:08     -161.481827        0.018839
