      Step     Time          Energy          fmax
FIRE:    0 22:45:34     -146.818291       28.332647
FIRE:    1 22:45:49     -151.429329       20.271993
FIRE:    2 22:46:03     -154.661660       14.237412
FIRE:    3 22:46:16     -156.874104       10.109638
FIRE:    4 22:46:30     -158.360518        7.127204
FIRE:    5 22:46:45     -159.330492        5.103429
FIRE:    6 22:47:01     -159.925379        3.653737
FIRE:    7 22:47:16     -160.252063        2.515904
FIRE:    8 22:47:31     -160.396141        2.208487
FIRE:    9 22:47:46     -160.429738        2.356381
FIRE:   10 22:48:00     -160.408352        2.622024
FIRE:   11 22:48:14     -160.524011        2.456978
FIRE:   12 22:48:29     -160.726069        2.128697
FIRE:   13 22:48:43     -160.960856        1.663405
FIRE:   14 22:48:58     -161.164297        1.191982
FIRE:   15 22:49:13     -161.290455        1.067810
FIRE:   16 22:49:28     -161.348092        1.256290
FIRE:   17 22:49:42     -161.387215        1.295381
FIRE:   18 22:49:57     -161.426855        0.966804
FIRE:   19 22:50:12     -161.428223        0.522571
FIRE:   20 22:50:26     -161.429933        0.511346
FIRE:   21 22:50:42     -161.433206        0.489760
FIRE:   22 22:51:05     -161.437772        0.459479
FIRE:   23 22:51:34     -161.443281        0.422860
FIRE:   24 22:52:00     -161.449334        0.382717
FIRE:   25 22:52:22     -161.455539        0.341808
FIRE:   26 22:52:45     -161.461572        0.302286
FIRE:   27 22:53:09     -161.467720        0.261176
FIRE:   28 22:53:32     -161.473588        0.217715
FIRE:   29 22:53:55     -161.478635        0.168701
FIRE:   30 22:54:17     -161.482097        0.106808
FIRE:   31 22:54:40     -161.482874        0.049738
