      Step     Time          Energy          fmax
BFGS:    0 03:26:28     -160.542071        1.630983
BFGS:    1 03:26:29     -160.593320        0.621729
BFGS:    2 03:26:29     -160.656155        0.709184
BFGS:    3 03:26:30     -160.715256        0.779449
BFGS:    4 03:26:30     -160.745494        0.553773
BFGS:    5 03:26:31     -160.765267        0.399887
BFGS:    6 03:26:32     -160.782602        0.612246
BFGS:    7 03:26:32     -160.811908        0.983328
BFGS:    8 03:26:33     -160.862803        1.130129
BFGS:    9 03:26:33     -160.938164        0.840838
BFGS:   10 03:26:34     -161.014424        0.848254
BFGS:   11 03:26:34     -161.076734        0.605294
BFGS:   12 03:26:35     -161.134843        0.774611
BFGS:   13 03:26:35     -161.199095        0.971728
BFGS:   14 03:26:36     -161.274944        0.861109
BFGS:   15 03:26:36     -161.337991        0.717950
BFGS:   16 03:26:37     -161.385818        0.535492
BFGS:   17 03:26:37     -161.414153        0.374275
BFGS:   18 03:26:38     -161.427140        0.390115
BFGS:   19 03:26:38     -161.449222        0.379144
BFGS:   20 03:26:39     -161.466563        0.398321
BFGS:   21 03:26:39     -161.474181        0.198758
BFGS:   22 03:26:40     -161.476535        0.122649
BFGS:   23 03:26:40     -161.478340        0.144284
BFGS:   24 03:26:41     -161.480283        0.185315
BFGS:   25 03:26:41     -161.481893        0.131949
BFGS:   26 03:26:42     -161.482654        0.049698
