      Step     Time          Energy          fmax
BFGS:    0 05:47:32     -158.710280        3.710145
BFGS:    1 05:47:33     -159.187701        2.263452
BFGS:    2 05:47:33     -159.629398        1.043996
BFGS:    3 05:47:34     -159.772162        0.988995
BFGS:    4 05:47:34     -159.839480        0.845528
BFGS:    5 05:47:35     -159.915091        0.956414
BFGS:    6 05:47:35     -160.020657        1.273647
BFGS:    7 05:47:36     -160.155803        1.423222
BFGS:    8 05:47:37     -160.344203        1.272933
BFGS:    9 05:47:37     -160.528625        1.256960
BFGS:   10 05:47:38     -160.668927        1.042837
BFGS:   11 05:47:38     -160.794193        0.990072
BFGS:   12 05:47:39     -160.939827        1.089770
BFGS:   13 05:47:39     -161.086151        0.832779
BFGS:   14 05:47:40     -161.192330        0.745113
BFGS:   15 05:47:40     -161.270680        0.532362
BFGS:   16 05:47:41     -161.328400        0.462514
BFGS:   17 05:47:41     -161.371460        0.530990
BFGS:   18 05:47:42     -161.406107        0.490451
BFGS:   19 05:47:42     -161.434130        0.409046
BFGS:   20 05:47:43     -161.454592        0.286572
BFGS:   21 05:47:43     -161.467916        0.141929
BFGS:   22 05:47:44     -161.474242        0.134579
BFGS:   23 05:47:44     -161.476261        0.151368
BFGS:   24 05:47:45     -161.478914        0.102620
BFGS:   25 05:47:45     -161.480531        0.056768
BFGS:   26 05:47:46     -161.481101        0.049460
