      Step     Time          Energy          fmax
BFGS:    0 10:05:30     -160.567974        1.840480
BFGS:    1 10:05:30     -160.630203        0.678463
BFGS:    2 10:05:31     -160.693035        0.658793
BFGS:    3 10:05:31     -160.750782        0.708528
BFGS:    4 10:05:32     -160.777680        0.532108
BFGS:    5 10:05:33     -160.796781        0.403364
BFGS:    6 10:05:33     -160.813288        0.601745
BFGS:    7 10:05:34     -160.840011        0.886520
BFGS:    8 10:05:34     -160.887775        0.962948
BFGS:    9 10:05:35     -160.964732        0.880297
BFGS:   10 10:05:35     -161.052692        0.949520
BFGS:   11 10:05:36     -161.118708        0.644766
BFGS:   12 10:05:36     -161.165865        0.466960
BFGS:   13 10:05:37     -161.216691        0.680439
BFGS:   14 10:05:37     -161.280617        0.733809
BFGS:   15 10:05:38     -161.342150        0.823080
BFGS:   16 10:05:38     -161.391550        0.685047
BFGS:   17 10:05:39     -161.424807        0.358769
BFGS:   18 10:05:39     -161.439952        0.261955
BFGS:   19 10:05:40     -161.449780        0.240945
BFGS:   20 10:05:40     -161.465259        0.323754
BFGS:   21 10:05:41     -161.475371        0.231449
BFGS:   22 10:05:41     -161.478201        0.110411
BFGS:   23 10:05:42     -161.479555        0.098500
BFGS:   24 10:05:42     -161.480804        0.121618
BFGS:   25 10:05:43     -161.481681        0.087905
BFGS:   26 10:05:43     -161.482152        0.036075
