      Step     Time          Energy          fmax
BFGS:    0 10:17:25     -158.734322        7.083785
BFGS:    1 10:17:26     -159.660146        1.927461
BFGS:    2 10:17:26     -159.929284        1.355861
BFGS:    3 10:17:27     -160.076788        0.890767
BFGS:    4 10:17:27     -160.136546        1.004877
BFGS:    5 10:17:28     -160.208835        1.125547
BFGS:    6 10:17:28     -160.274620        0.898999
BFGS:    7 10:17:29     -160.344948        0.758872
BFGS:    8 10:17:29     -160.425688        0.917830
BFGS:    9 10:17:30     -160.511186        0.838824
BFGS:   10 10:17:30     -160.584336        1.057698
BFGS:   11 10:17:31     -160.649489        1.084604
BFGS:   12 10:17:32     -160.728895        0.981252
BFGS:   13 10:17:32     -160.864074        0.838361
BFGS:   14 10:17:33     -161.004806        0.867356
BFGS:   15 10:17:33     -161.136501        0.866862
BFGS:   16 10:17:34     -161.252001        0.872817
BFGS:   17 10:17:34     -161.345654        0.714148
BFGS:   18 10:17:35     -161.404528        0.398325
BFGS:   19 10:17:35     -161.435063        0.385396
BFGS:   20 10:17:36     -161.455483        0.354776
BFGS:   21 10:17:36     -161.469150        0.196786
BFGS:   22 10:17:37     -161.474540        0.083447
BFGS:   23 10:17:37     -161.475921        0.071974
BFGS:   24 10:17:38     -161.477246        0.089613
BFGS:   25 10:17:38     -161.478974        0.073788
BFGS:   26 10:17:39     -161.481585        0.084082
BFGS:   27 10:17:39     -161.482911        0.089909
BFGS:   28 10:17:40     -161.483146        0.051810
BFGS:   29 10:17:40     -161.483266        0.091149
BFGS:   30 10:17:41     -161.483577        0.057711
BFGS:   31 10:17:41     -161.483730        0.035343
