      Step     Time          Energy          fmax
BFGS:    0 18:05:41        5.995879        0.037203
BFGS:    1 18:05:41        5.995781        0.034590
BFGS:    2 18:05:41        5.995363        0.036509
BFGS:    3 18:05:41        5.995294        0.034123
BFGS:    4 18:05:41        5.995117        0.019030
      Step     Time          Energy          fmax
BFGS:    0 18:06:43        5.959435        0.041674
BFGS:    1 18:06:43        5.959270        0.039449
BFGS:    2 18:06:43        5.958736        0.045441
BFGS:    3 18:06:43        5.958599        0.050626
BFGS:    4 18:06:43        5.958127        0.041304
BFGS:    5 18:06:43        5.957944        0.034607
BFGS:    6 18:06:43        5.957776        0.033429
BFGS:    7 18:06:43        5.957573        0.044378
BFGS:    8 18:06:43        5.957168        0.070007
BFGS:    9 18:06:43        5.956662        0.075368
BFGS:   10 18:06:43        5.956235        0.048763
BFGS:   11 18:06:43        5.955975        0.040915
BFGS:   12 18:06:43        5.955752        0.045912
BFGS:   13 18:06:43        5.955427        0.059900
BFGS:   14 18:06:43        5.955002        0.057217
BFGS:   15 18:06:43        5.954671        0.034894
BFGS:   16 18:06:43        5.954502        0.031186
BFGS:   17 18:06:43        5.954404        0.027367
BFGS:   18 18:06:43        5.954300        0.028585
BFGS:   19 18:06:43        5.954184        0.026713
BFGS:   20 18:06:43        5.954095        0.023466
BFGS:   21 18:06:43        5.954032        0.023246
BFGS:   22 18:06:43        5.953972        0.021835
BFGS:   23 18:06:43        5.953903        0.023036
BFGS:   24 18:06:43        5.953838        0.021813
BFGS:   25 18:06:43        5.953780        0.020921
BFGS:   26 18:06:43        5.953714        0.025570
BFGS:   27 18:06:43        5.953617        0.029906
BFGS:   28 18:06:43        5.953484        0.029046
BFGS:   29 18:06:43        5.953351        0.026740
BFGS:   30 18:06:43        5.953250        0.025700
BFGS:   31 18:06:43        5.953169        0.022879
BFGS:   32 18:06:43        5.953078        0.025346
BFGS:   33 18:06:43        5.952966        0.024815
BFGS:   34 18:06:43        5.952849        0.032177
BFGS:   35 18:06:43        5.952731        0.035928
BFGS:   36 18:06:43        5.952602        0.031356
BFGS:   37 18:06:43        5.952459        0.036753
BFGS:   38 18:06:43        5.952317        0.034020
BFGS:   39 18:06:43        5.952185        0.027219
BFGS:   40 18:06:43        5.952047        0.029766
BFGS:   41 18:06:43        5.951891        0.031832
BFGS:   42 18:06:43        5.951751        0.025962
BFGS:   43 18:06:43        5.951668        0.021890
BFGS:   44 18:06:43        5.951621        0.018253
      Step     Time          Energy          fmax
BFGS:    0 18:13:37        5.995117        0.019030
      Step     Time          Energy          fmax
BFGS:    0 18:18:45        5.995117        0.019030
      Step     Time          Energy          fmax
BFGS:    0 18:18:46        5.951621        0.018253
