      Step     Time          Energy          fmax
BFGS:    0 14:52:22     -172.363678        2.728498
BFGS:    1 14:52:23     -172.527161        1.461785
BFGS:    2 14:52:23     -172.619919        0.669075
BFGS:    3 14:52:23     -172.645538        0.582436
BFGS:    4 14:52:23     -172.669418        0.220652
BFGS:    5 14:52:24     -172.674698        0.239167
BFGS:    6 14:52:24     -172.685394        0.384687
BFGS:    7 14:52:24     -172.701111        0.421632
BFGS:    8 14:52:24     -172.716873        0.360014
BFGS:    9 14:52:24     -172.725128        0.242697
BFGS:   10 14:52:25     -172.730423        0.188529
BFGS:   11 14:52:25     -172.736954        0.245887
BFGS:   12 14:52:25     -172.744415        0.246723
BFGS:   13 14:52:25     -172.750824        0.189503
BFGS:   14 14:52:25     -172.754395        0.096158
BFGS:   15 14:52:26     -172.755615        0.082177
BFGS:   16 14:52:26     -172.756760        0.102240
BFGS:   17 14:52:26     -172.758743        0.123630
BFGS:   18 14:52:26     -172.760788        0.110742
BFGS:   19 14:52:27     -172.762497        0.085500
BFGS:   20 14:52:27     -172.764236        0.085483
BFGS:   21 14:52:27     -172.766449        0.106767
BFGS:   22 14:52:27     -172.769882        0.135420
BFGS:   23 14:52:27     -172.776031        0.198493
BFGS:   24 14:52:28     -172.784424        0.296302
BFGS:   25 14:52:28     -172.792221        0.194976
BFGS:   26 14:52:28     -172.796951        0.242833
BFGS:   27 14:52:28     -172.800964        0.066467
BFGS:   28 14:52:28     -172.802139        0.225788
BFGS:   29 14:52:29     -172.804276        0.048844
