      Step     Time          Energy          fmax
BFGS:    0 15:10:12     -172.547119        0.241639
BFGS:    1 15:10:12     -172.549484        0.110475
BFGS:    2 15:10:12     -172.551102        0.102126
BFGS:    3 15:10:12     -172.552658        0.142005
BFGS:    4 15:10:12     -172.554077        0.121031
BFGS:    5 15:10:13     -172.554779        0.068083
BFGS:    6 15:10:13     -172.555313        0.095346
BFGS:    7 15:10:13     -172.556335        0.175863
BFGS:    8 15:10:13     -172.558563        0.281916
BFGS:    9 15:10:13     -172.562729        0.374191
BFGS:   10 15:10:14     -172.568146        0.355209
BFGS:   11 15:10:14     -172.572952        0.193917
BFGS:   12 15:10:14     -172.576324        0.122602
BFGS:   13 15:10:14     -172.579453        0.179285
BFGS:   14 15:10:14     -172.584305        0.275103
BFGS:   15 15:10:15     -172.589813        0.280962
BFGS:   16 15:10:15     -172.593460        0.146687
BFGS:   17 15:10:15     -172.594437        0.054034
BFGS:   18 15:10:15     -172.594681        0.041403
