      Step     Time          Energy          fmax
BFGS:    0 15:31:34     -172.318466        2.571829
BFGS:    1 15:31:34     -172.504791        1.220028
BFGS:    2 15:31:35     -172.608307        0.687519
BFGS:    3 15:31:35     -172.636566        0.589759
BFGS:    4 15:31:35     -172.658783        0.319688
BFGS:    5 15:31:36     -172.668915        0.369061
BFGS:    6 15:31:36     -172.683716        0.433114
BFGS:    7 15:31:36     -172.704102        0.402273
BFGS:    8 15:31:36     -172.719849        0.311658
BFGS:    9 15:31:37     -172.728333        0.296311
BFGS:   10 15:31:37     -172.735519        0.243890
BFGS:   11 15:31:37     -172.742798        0.235783
BFGS:   12 15:31:37     -172.749207        0.189768
BFGS:   13 15:31:38     -172.753403        0.146324
BFGS:   14 15:31:38     -172.755539        0.113222
BFGS:   15 15:31:38     -172.757202        0.134828
BFGS:   16 15:31:38     -172.759460        0.126445
BFGS:   17 15:31:39     -172.761551        0.109842
BFGS:   18 15:31:39     -172.762848        0.083949
BFGS:   19 15:31:39     -172.763657        0.086905
BFGS:   20 15:31:39     -172.764542        0.108242
BFGS:   21 15:31:40     -172.765869        0.109315
BFGS:   22 15:31:40     -172.767807        0.082702
BFGS:   23 15:31:40     -172.769714        0.077316
BFGS:   24 15:31:41     -172.770721        0.069642
BFGS:   25 15:31:41     -172.771423        0.079265
BFGS:   26 15:31:41     -172.772507        0.088154
BFGS:   27 15:31:41     -172.774033        0.097008
BFGS:   28 15:31:41     -172.775803        0.085178
BFGS:   29 15:31:42     -172.777298        0.067016
BFGS:   30 15:31:42     -172.778336        0.073675
BFGS:   31 15:31:42     -172.779388        0.091084
BFGS:   32 15:31:42     -172.781479        0.119829
BFGS:   33 15:31:43     -172.784485        0.133240
BFGS:   34 15:31:43     -172.787170        0.105159
BFGS:   35 15:31:43     -172.788971        0.095210
BFGS:   36 15:31:43     -172.790771        0.091244
BFGS:   37 15:31:43     -172.792725        0.079063
BFGS:   38 15:31:44     -172.794739        0.105687
BFGS:   39 15:31:44     -172.796326        0.082267
BFGS:   40 15:31:44     -172.797348        0.101404
BFGS:   41 15:31:44     -172.798233        0.106061
BFGS:   42 15:31:45     -172.799805        0.099034
BFGS:   43 15:31:45     -172.802200        0.118241
BFGS:   44 15:31:45     -172.804337        0.088211
BFGS:   45 15:31:45     -172.805328        0.051780
BFGS:   46 15:31:45     -172.805710        0.051229
BFGS:   47 15:31:46     -172.805969        0.044542
