      Step     Time          Energy          fmax
BFGS:    0 16:15:19     -161.423325       50.945084
BFGS:    1 16:15:20     -170.181122       10.149048
BFGS:    2 16:15:20     -171.267258        4.806058
BFGS:    3 16:15:20     -171.801544        1.035338
BFGS:    4 16:15:20     -171.896515        1.607153
BFGS:    5 16:15:20     -172.169083        2.597937
BFGS:    6 16:15:21     -172.448425        2.146193
BFGS:    7 16:15:21     -172.727097        1.267268
BFGS:    8 16:15:21     -172.943832        1.337015
BFGS:    9 16:15:21     -173.157074        1.596070
BFGS:   10 16:15:22     -173.491104        1.061607
BFGS:   11 16:15:22     -173.657547        0.557881
BFGS:   12 16:15:22     -173.677948        0.335743
BFGS:   13 16:15:22     -173.689926        0.257116
BFGS:   14 16:15:22     -173.702850        0.265793
BFGS:   15 16:15:23     -173.705429        0.209171
BFGS:   16 16:15:23     -173.710251        0.112413
BFGS:   17 16:15:23     -173.713165        0.071427
BFGS:   18 16:15:23     -173.714447        0.106985
BFGS:   19 16:15:24     -173.714859        0.102042
BFGS:   20 16:15:24     -173.715332        0.076415
BFGS:   21 16:15:24     -173.715866        0.030501
