      Step     Time          Energy          fmax
BFGS:    0 02:23:10     -161.423325       50.945079
BFGS:    1 02:23:11     -170.181122       10.149046
BFGS:    2 02:23:11     -171.267258        4.806065
BFGS:    3 02:23:11     -171.801544        1.035338
BFGS:    4 02:23:12     -171.896515        1.607146
BFGS:    5 02:23:12     -172.169083        2.597925
BFGS:    6 02:23:12     -172.448425        2.146192
BFGS:    7 02:23:12     -172.727097        1.267267
BFGS:    8 02:23:13     -172.943832        1.337026
BFGS:    9 02:23:13     -173.157074        1.596104
BFGS:   10 02:23:13     -173.491104        1.061583
BFGS:   11 02:23:13     -173.657547        0.557868
BFGS:   12 02:23:14     -173.677948        0.335739
BFGS:   13 02:23:14     -173.689926        0.257054
BFGS:   14 02:23:14     -173.702850        0.265836
BFGS:   15 02:23:15     -173.705429        0.209217
BFGS:   16 02:23:15     -173.710251        0.112406
BFGS:   17 02:23:15     -173.713150        0.071430
BFGS:   18 02:23:16     -173.714447        0.106982
BFGS:   19 02:23:16     -173.714859        0.102042
BFGS:   20 02:23:16     -173.715332        0.076401
BFGS:   21 02:23:17     -173.715851        0.030493
      Step     Time          Energy          fmax
BFGS:    0 15:58:02     -161.423325       50.945084
BFGS:    1 15:58:02     -170.181122       10.149048
BFGS:    2 15:58:02     -171.267258        4.806066
BFGS:    3 15:58:02     -171.801544        1.035338
BFGS:    4 15:58:03     -171.896515        1.607147
BFGS:    5 15:58:03     -172.169083        2.597924
BFGS:    6 15:58:03     -172.448425        2.146192
BFGS:    7 15:58:03     -172.727097        1.267267
BFGS:    8 15:58:04     -172.943832        1.337025
BFGS:    9 15:58:04     -173.157074        1.596091
BFGS:   10 15:58:04     -173.491104        1.061575
BFGS:   11 15:58:04     -173.657562        0.557850
BFGS:   12 15:58:04     -173.677948        0.335740
BFGS:   13 15:58:05     -173.689926        0.257096
BFGS:   14 15:58:05     -173.702850        0.265792
BFGS:   15 15:58:05     -173.705429        0.209186
BFGS:   16 15:58:05     -173.710251        0.112397
BFGS:   17 15:58:05     -173.713165        0.071415
BFGS:   18 15:58:06     -173.714447        0.107002
BFGS:   19 15:58:06     -173.714859        0.102020
BFGS:   20 15:58:06     -173.715332        0.076423
BFGS:   21 15:58:06     -173.715851        0.030489
