      Step     Time          Energy          fmax
BFGS:    0 03:03:52     -172.636902        0.590776
BFGS:    1 03:03:52     -172.654221        0.296519
BFGS:    2 03:03:52     -172.665649        0.256758
BFGS:    3 03:03:53     -172.677704        0.454933
BFGS:    4 03:03:53     -172.695557        0.564111
BFGS:    5 03:03:53     -172.707642        0.374997
BFGS:    6 03:03:54     -172.713745        0.140661
BFGS:    7 03:03:54     -172.717056        0.183541
BFGS:    8 03:03:54     -172.722946        0.284258
BFGS:    9 03:03:55     -172.731613        0.326152
BFGS:   10 03:03:55     -172.740112        0.215614
BFGS:   11 03:03:55     -172.745667        0.205421
BFGS:   12 03:03:55     -172.753098        0.335165
BFGS:   13 03:03:56     -172.762573        0.547702
BFGS:   14 03:03:56     -172.774933        0.612565
BFGS:   15 03:03:56     -172.785202        0.429209
BFGS:   16 03:03:57     -172.791794        0.122546
BFGS:   17 03:03:57     -172.793213        0.044464
      Step     Time          Energy          fmax
BFGS:    0 16:29:42     -172.636902        0.590776
BFGS:    1 16:29:42     -172.654221        0.296518
BFGS:    2 16:29:42     -172.665649        0.256757
BFGS:    3 16:29:42     -172.677719        0.454927
BFGS:    4 16:29:43     -172.695572        0.564116
BFGS:    5 16:29:43     -172.707642        0.374990
BFGS:    6 16:29:43     -172.713745        0.140663
BFGS:    7 16:29:43     -172.717056        0.183538
BFGS:    8 16:29:44     -172.722946        0.284284
BFGS:    9 16:29:44     -172.731613        0.326159
BFGS:   10 16:29:44     -172.740112        0.215608
BFGS:   11 16:29:45     -172.745651        0.205415
BFGS:   12 16:29:45     -172.753098        0.335271
BFGS:   13 16:29:45     -172.762573        0.547620
BFGS:   14 16:29:45     -172.774933        0.612524
BFGS:   15 16:29:45     -172.785202        0.429214
BFGS:   16 16:29:46     -172.791794        0.122477
BFGS:   17 16:29:46     -172.793213        0.044463
