      Step     Time          Energy          fmax
BFGS:    0 03:07:20     -172.318451        2.571837
BFGS:    1 03:07:21     -172.504791        1.220016
BFGS:    2 03:07:21     -172.608307        0.687530
BFGS:    3 03:07:21     -172.636566        0.589751
BFGS:    4 03:07:21     -172.658783        0.319688
BFGS:    5 03:07:22     -172.668915        0.369060
BFGS:    6 03:07:22     -172.683716        0.433075
BFGS:    7 03:07:22     -172.704102        0.402285
BFGS:    8 03:07:23     -172.719849        0.311660
BFGS:    9 03:07:23     -172.728333        0.296328
BFGS:   10 03:07:23     -172.735504        0.243870
BFGS:   11 03:07:24     -172.742798        0.235792
BFGS:   12 03:07:24     -172.749207        0.189736
BFGS:   13 03:07:24     -172.753403        0.146385
BFGS:   14 03:07:24     -172.755539        0.113222
BFGS:   15 03:07:25     -172.757202        0.134831
BFGS:   16 03:07:25     -172.759460        0.126453
BFGS:   17 03:07:25     -172.761551        0.109869
BFGS:   18 03:07:26     -172.762848        0.083988
BFGS:   19 03:07:26     -172.763657        0.086902
BFGS:   20 03:07:26     -172.764542        0.108229
BFGS:   21 03:07:26     -172.765854        0.109245
BFGS:   22 03:07:27     -172.767822        0.082732
BFGS:   23 03:07:27     -172.769714        0.077324
BFGS:   24 03:07:27     -172.770721        0.069644
BFGS:   25 03:07:28     -172.771423        0.079267
BFGS:   26 03:07:28     -172.772507        0.088158
BFGS:   27 03:07:28     -172.774033        0.097053
BFGS:   28 03:07:28     -172.775803        0.085155
BFGS:   29 03:07:29     -172.777298        0.067007
BFGS:   30 03:07:29     -172.778336        0.073684
BFGS:   31 03:07:30     -172.779388        0.091061
BFGS:   32 03:07:30     -172.781479        0.119779
BFGS:   33 03:07:30     -172.784485        0.133213
BFGS:   34 03:07:30     -172.787170        0.105157
BFGS:   35 03:07:31     -172.788971        0.095221
BFGS:   36 03:07:31     -172.790771        0.091260
BFGS:   37 03:07:31     -172.792725        0.079096
BFGS:   38 03:07:32     -172.794724        0.105631
BFGS:   39 03:07:32     -172.796326        0.082266
BFGS:   40 03:07:32     -172.797348        0.101404
BFGS:   41 03:07:33     -172.798233        0.106067
BFGS:   42 03:07:33     -172.799805        0.099044
BFGS:   43 03:07:34     -172.802200        0.118239
BFGS:   44 03:07:34     -172.804337        0.088143
BFGS:   45 03:07:34     -172.805328        0.051789
BFGS:   46 03:07:35     -172.805710        0.051238
BFGS:   47 03:07:35     -172.805954        0.044552
      Step     Time          Energy          fmax
BFGS:    0 16:32:27     -172.318466        2.571835
BFGS:    1 16:32:28     -172.504791        1.220019
BFGS:    2 16:32:28     -172.608307        0.687530
BFGS:    3 16:32:28     -172.636566        0.589731
BFGS:    4 16:32:28     -172.658783        0.319694
BFGS:    5 16:32:29     -172.668915        0.369067
BFGS:    6 16:32:29     -172.683716        0.433175
BFGS:    7 16:32:29     -172.704102        0.402274
BFGS:    8 16:32:29     -172.719849        0.311679
BFGS:    9 16:32:29     -172.728333        0.296306
BFGS:   10 16:32:30     -172.735504        0.243876
BFGS:   11 16:32:30     -172.742798        0.235816
BFGS:   12 16:32:30     -172.749207        0.189787
BFGS:   13 16:32:30     -172.753403        0.146324
BFGS:   14 16:32:31     -172.755539        0.113228
BFGS:   15 16:32:31     -172.757202        0.134841
BFGS:   16 16:32:31     -172.759460        0.126488
BFGS:   17 16:32:32     -172.761551        0.109915
BFGS:   18 16:32:32     -172.762848        0.083934
BFGS:   19 16:32:32     -172.763657        0.086927
BFGS:   20 16:32:33     -172.764542        0.108241
BFGS:   21 16:32:33     -172.765869        0.109271
BFGS:   22 16:32:33     -172.767822        0.082704
BFGS:   23 16:32:33     -172.769714        0.077316
BFGS:   24 16:32:34     -172.770721        0.069634
BFGS:   25 16:32:34     -172.771423        0.079257
BFGS:   26 16:32:34     -172.772507        0.088154
BFGS:   27 16:32:34     -172.774033        0.097034
BFGS:   28 16:32:34     -172.775803        0.085225
BFGS:   29 16:32:35     -172.777298        0.067007
BFGS:   30 16:32:35     -172.778336        0.073683
BFGS:   31 16:32:35     -172.779388        0.091143
BFGS:   32 16:32:35     -172.781479        0.119790
BFGS:   33 16:32:36     -172.784485        0.133321
BFGS:   34 16:32:36     -172.787170        0.105142
BFGS:   35 16:32:36     -172.788971        0.095218
BFGS:   36 16:32:36     -172.790771        0.091251
BFGS:   37 16:32:36     -172.792725        0.079072
BFGS:   38 16:32:37     -172.794724        0.105632
BFGS:   39 16:32:37     -172.796326        0.082266
BFGS:   40 16:32:37     -172.797348        0.101399
BFGS:   41 16:32:38     -172.798233        0.106065
BFGS:   42 16:32:38     -172.799805        0.099044
BFGS:   43 16:32:38     -172.802200        0.118266
BFGS:   44 16:32:39     -172.804337        0.088183
BFGS:   45 16:32:39     -172.805328        0.051786
BFGS:   46 16:32:39     -172.805710        0.051235
BFGS:   47 16:32:39     -172.805969        0.044547
