      Step     Time          Energy          fmax
BFGS:    0 00:03:53     -172.347656        2.768269
BFGS:    1 00:03:53     -172.508255        1.506354
BFGS:    2 00:03:54     -172.599487        0.688145
BFGS:    3 00:03:54     -172.626190        0.611378
BFGS:    4 00:03:54     -172.653519        0.236840
BFGS:    5 00:03:55     -172.659866        0.262135
BFGS:    6 00:03:55     -172.671494        0.378570
BFGS:    7 00:03:55     -172.689880        0.423312
BFGS:    8 00:03:56     -172.709030        0.402058
BFGS:    9 00:03:56     -172.719620        0.268203
BFGS:   10 00:03:56     -172.725616        0.196353
BFGS:   11 00:03:57     -172.732452        0.231871
BFGS:   12 00:03:57     -172.740631        0.240213
BFGS:   13 00:03:57     -172.747864        0.203082
BFGS:   14 00:03:57     -172.752304        0.108166
BFGS:   15 00:03:58     -172.753830        0.085954
BFGS:   16 00:03:58     -172.754852        0.099821
BFGS:   17 00:03:58     -172.756760        0.117219
BFGS:   18 00:03:59     -172.759048        0.109757
BFGS:   19 00:03:59     -172.761322        0.088283
BFGS:   20 00:03:59     -172.763458        0.112595
BFGS:   21 00:04:00     -172.765839        0.112269
BFGS:   22 00:04:00     -172.769363        0.111168
BFGS:   23 00:04:00     -172.775650        0.147052
BFGS:   24 00:04:00     -172.784134        0.225778
BFGS:   25 00:04:01     -172.792328        0.164673
BFGS:   26 00:04:01     -172.797012        0.228590
BFGS:   27 00:04:01     -172.800125        0.075962
BFGS:   28 00:04:02     -172.801773        0.228545
BFGS:   29 00:04:02     -172.803467        0.086684
BFGS:   30 00:04:02     -172.804520        0.031363
      Step     Time          Energy          fmax
BFGS:    0 13:50:55     -172.347672        2.768268
BFGS:    1 13:50:55     -172.508255        1.506350
BFGS:    2 13:50:55     -172.599503        0.688124
BFGS:    3 13:50:56     -172.626190        0.611400
BFGS:    4 13:50:56     -172.653519        0.236841
BFGS:    5 13:50:56     -172.659866        0.262130
BFGS:    6 13:50:56     -172.671494        0.378532
BFGS:    7 13:50:57     -172.689880        0.423302
BFGS:    8 13:50:57     -172.709030        0.402093
BFGS:    9 13:50:57     -172.719620        0.268202
BFGS:   10 13:50:57     -172.725616        0.196349
BFGS:   11 13:50:58     -172.732452        0.231868
BFGS:   12 13:50:58     -172.740631        0.240342
BFGS:   13 13:50:59     -172.747864        0.203093
BFGS:   14 13:50:59     -172.752319        0.108163
BFGS:   15 13:50:59     -172.753830        0.085951
BFGS:   16 13:51:00     -172.754852        0.099841
BFGS:   17 13:51:00     -172.756760        0.117212
BFGS:   18 13:51:00     -172.759048        0.109779
BFGS:   19 13:51:00     -172.761322        0.088273
BFGS:   20 13:51:02     -172.763474        0.112591
BFGS:   21 13:51:02     -172.765839        0.112260
BFGS:   22 13:51:02     -172.769363        0.111171
BFGS:   23 13:51:04     -172.775650        0.147049
BFGS:   24 13:51:05     -172.784134        0.225736
BFGS:   25 13:51:06     -172.792328        0.164699
BFGS:   26 13:51:06     -172.797012        0.228530
BFGS:   27 13:51:06     -172.800125        0.075976
BFGS:   28 13:51:07     -172.801758        0.228770
BFGS:   29 13:51:07     -172.803467        0.086654
BFGS:   30 13:51:07     -172.804535        0.031349
