      Step     Time          Energy          fmax
BFGS:    0 09:02:13     -161.423325       50.945091
BFGS:    1 09:02:13     -170.181122       10.149048
BFGS:    2 09:02:14     -171.267258        4.806064
BFGS:    3 09:02:14     -171.801544        1.035338
BFGS:    4 09:02:14     -171.896515        1.607148
BFGS:    5 09:02:14     -172.169083        2.597928
BFGS:    6 09:02:15     -172.448425        2.146193
BFGS:    7 09:02:15     -172.727097        1.267267
BFGS:    8 09:02:15     -172.943832        1.337029
BFGS:    9 09:02:16     -173.157059        1.596094
BFGS:   10 09:02:16     -173.491104        1.061619
BFGS:   11 09:02:16     -173.657547        0.557887
BFGS:   12 09:02:16     -173.677948        0.335742
BFGS:   13 09:02:17     -173.689926        0.257049
BFGS:   14 09:02:17     -173.702850        0.265856
BFGS:   15 09:02:17     -173.705429        0.209173
BFGS:   16 09:02:18     -173.710251        0.112410
BFGS:   17 09:02:18     -173.713165        0.071424
BFGS:   18 09:02:18     -173.714447        0.106981
BFGS:   19 09:02:19     -173.714859        0.102041
BFGS:   20 09:02:19     -173.715332        0.076403
BFGS:   21 09:02:19     -173.715851        0.030504
      Step     Time          Energy          fmax
BFGS:    0 22:39:41     -161.423325       50.945084
BFGS:    1 22:39:41     -170.181122       10.149049
BFGS:    2 22:39:42     -171.267258        4.806064
BFGS:    3 22:39:42     -171.801544        1.035338
BFGS:    4 22:39:42     -171.896515        1.607148
BFGS:    5 22:39:43     -172.169083        2.597930
BFGS:    6 22:39:43     -172.448425        2.146193
BFGS:    7 22:39:43     -172.727097        1.267269
BFGS:    8 22:39:44     -172.943832        1.337015
BFGS:    9 22:39:44     -173.157059        1.596078
BFGS:   10 22:39:44     -173.491104        1.061606
BFGS:   11 22:39:45     -173.657562        0.557865
BFGS:   12 22:39:45     -173.677948        0.335742
BFGS:   13 22:39:45     -173.689926        0.257068
BFGS:   14 22:39:45     -173.702850        0.265804
BFGS:   15 22:39:46     -173.705429        0.209187
BFGS:   16 22:39:46     -173.710251        0.112405
BFGS:   17 22:39:46     -173.713165        0.071418
BFGS:   18 22:39:46     -173.714447        0.106961
BFGS:   19 22:39:47     -173.714859        0.102015
BFGS:   20 22:39:48     -173.715332        0.076432
BFGS:   21 22:39:48     -173.715851        0.030495
