      Step     Time          Energy          fmax
BFGS:    0 09:15:48     -172.571304        0.229545
BFGS:    1 09:15:48     -172.573853        0.111322
BFGS:    2 09:15:49     -172.575043        0.088522
BFGS:    3 09:15:49     -172.576172        0.108196
BFGS:    4 09:15:49     -172.577164        0.094538
BFGS:    5 09:15:49     -172.577545        0.057169
BFGS:    6 09:15:50     -172.577728        0.050018
BFGS:    7 09:15:50     -172.577972        0.068924
BFGS:    8 09:15:50     -172.578445        0.105361
BFGS:    9 09:15:50     -172.579071        0.108612
BFGS:   10 09:15:51     -172.579575        0.066452
BFGS:   11 09:15:51     -172.579895        0.043941
      Step     Time          Energy          fmax
BFGS:    0 22:53:48     -172.571320        0.229546
BFGS:    1 22:53:48     -172.573853        0.111322
BFGS:    2 22:53:48     -172.575043        0.088522
BFGS:    3 22:53:49     -172.576187        0.108196
BFGS:    4 22:53:49     -172.577148        0.094525
BFGS:    5 22:53:49     -172.577545        0.057188
BFGS:    6 22:53:50     -172.577728        0.050027
BFGS:    7 22:53:50     -172.577972        0.068903
BFGS:    8 22:53:50     -172.578461        0.105367
BFGS:    9 22:53:50     -172.579071        0.108623
BFGS:   10 22:53:51     -172.579575        0.066445
BFGS:   11 22:53:51     -172.579895        0.043944
