      Step     Time          Energy          fmax
BFGS:    0 10:34:22     -169.581451        6.148828
BFGS:    1 10:34:22     -171.162613        3.056654
BFGS:    2 10:34:23     -171.722244        1.337090
BFGS:    3 10:34:23     -171.851593        1.174004
BFGS:    4 10:34:23     -171.957291        0.719192
BFGS:    5 10:34:23     -172.021408        0.921342
BFGS:    6 10:34:24     -172.135635        1.160002
BFGS:    7 10:34:24     -172.264038        1.031462
BFGS:    8 10:34:24     -172.366714        0.944116
BFGS:    9 10:34:24     -172.437347        0.750492
BFGS:   10 10:34:25     -172.488815        0.603631
BFGS:   11 10:34:25     -172.553146        0.467979
BFGS:   12 10:34:25     -172.599838        0.365268
BFGS:   13 10:34:26     -172.636520        0.173968
BFGS:   14 10:34:26     -172.642517        0.076974
BFGS:   15 10:34:26     -172.643311        0.062369
BFGS:   16 10:34:26     -172.644409        0.054432
BFGS:   17 10:34:27     -172.645172        0.044999
      Step     Time          Energy          fmax
BFGS:    0 00:14:03     -169.581467        6.148826
BFGS:    1 00:14:03     -171.162613        3.056652
BFGS:    2 00:14:03     -171.722244        1.337090
BFGS:    3 00:14:04     -171.851593        1.174001
BFGS:    4 00:14:04     -171.957291        0.719190
BFGS:    5 00:14:04     -172.021408        0.921359
BFGS:    6 00:14:04     -172.135635        1.159980
BFGS:    7 00:14:05     -172.264038        1.031439
BFGS:    8 00:14:05     -172.366714        0.944116
BFGS:    9 00:14:05     -172.437347        0.750502
BFGS:   10 00:14:05     -172.488815        0.603626
BFGS:   11 00:14:06     -172.553162        0.468046
BFGS:   12 00:14:06     -172.599838        0.365272
BFGS:   13 00:14:06     -172.636520        0.173971
BFGS:   14 00:14:06     -172.642517        0.076974
BFGS:   15 00:14:07     -172.643311        0.062371
BFGS:   16 00:14:07     -172.644409        0.054427
BFGS:   17 00:14:07     -172.645172        0.044999
