      Step     Time          Energy          fmax
BFGS:    0 11:06:10     -172.363678        2.728501
BFGS:    1 11:06:10     -172.527161        1.461776
BFGS:    2 11:06:10     -172.619919        0.669052
BFGS:    3 11:06:11     -172.645538        0.582439
BFGS:    4 11:06:11     -172.669418        0.220648
BFGS:    5 11:06:11     -172.674713        0.239165
BFGS:    6 11:06:12     -172.685394        0.384659
BFGS:    7 11:06:12     -172.701111        0.421543
BFGS:    8 11:06:12     -172.716858        0.360026
BFGS:    9 11:06:12     -172.725128        0.242707
BFGS:   10 11:06:13     -172.730423        0.188538
BFGS:   11 11:06:13     -172.736954        0.245881
BFGS:   12 11:06:13     -172.744415        0.246770
BFGS:   13 11:06:14     -172.750824        0.189491
BFGS:   14 11:06:14     -172.754395        0.096171
BFGS:   15 11:06:14     -172.755615        0.082175
BFGS:   16 11:06:14     -172.756760        0.102227
BFGS:   17 11:06:15     -172.758743        0.123610
BFGS:   18 11:06:15     -172.760788        0.110746
BFGS:   19 11:06:15     -172.762497        0.085501
BFGS:   20 11:06:16     -172.764236        0.085497
BFGS:   21 11:06:16     -172.766449        0.106783
BFGS:   22 11:06:16     -172.769867        0.135415
BFGS:   23 11:06:16     -172.776031        0.198571
BFGS:   24 11:06:17     -172.784409        0.296282
BFGS:   25 11:06:17     -172.792221        0.194953
BFGS:   26 11:06:17     -172.796951        0.242864
BFGS:   27 11:06:17     -172.800964        0.066475
BFGS:   28 11:06:18     -172.802124        0.225654
BFGS:   29 11:06:18     -172.804276        0.048862
      Step     Time          Energy          fmax
BFGS:    0 00:46:11     -172.363678        2.728503
BFGS:    1 00:46:11     -172.527161        1.461777
BFGS:    2 00:46:11     -172.619919        0.669052
BFGS:    3 00:46:11     -172.645538        0.582440
BFGS:    4 00:46:11     -172.669418        0.220650
BFGS:    5 00:46:12     -172.674713        0.239167
BFGS:    6 00:46:12     -172.685379        0.384708
BFGS:    7 00:46:12     -172.701111        0.421535
BFGS:    8 00:46:12     -172.716873        0.360006
BFGS:    9 00:46:12     -172.725128        0.242708
BFGS:   10 00:46:13     -172.730423        0.188539
BFGS:   11 00:46:13     -172.736954        0.245856
BFGS:   12 00:46:13     -172.744415        0.246776
BFGS:   13 00:46:14     -172.750824        0.189479
BFGS:   14 00:46:14     -172.754395        0.096188
BFGS:   15 00:46:14     -172.755615        0.082182
BFGS:   16 00:46:14     -172.756760        0.102224
BFGS:   17 00:46:14     -172.758743        0.123627
BFGS:   18 00:46:15     -172.760788        0.110754
BFGS:   19 00:46:15     -172.762497        0.085496
BFGS:   20 00:46:15     -172.764236        0.085498
BFGS:   21 00:46:16     -172.766449        0.106783
BFGS:   22 00:46:16     -172.769882        0.135450
BFGS:   23 00:46:17     -172.776031        0.198582
BFGS:   24 00:46:17     -172.784424        0.296226
BFGS:   25 00:46:17     -172.792221        0.194972
BFGS:   26 00:46:17     -172.796967        0.242830
BFGS:   27 00:46:17     -172.800964        0.066475
BFGS:   28 00:46:18     -172.802139        0.225701
BFGS:   29 00:46:18     -172.804276        0.048854
