      Step     Time          Energy          fmax
BFGS:    0 08:39:07     -172.503952        0.617291
BFGS:    1 08:39:08     -172.519455        0.249912
BFGS:    2 08:39:08     -172.526276        0.222328
BFGS:    3 08:39:08     -172.533173        0.295291
BFGS:    4 08:39:09     -172.544144        0.425353
BFGS:    5 08:39:09     -172.553253        0.331868
BFGS:    6 08:39:09     -172.558472        0.127836
BFGS:    7 08:39:10     -172.562378        0.195283
BFGS:    8 08:39:10     -172.569229        0.317353
BFGS:    9 08:39:10     -172.576797        0.339812
BFGS:   10 08:39:11     -172.583542        0.221920
BFGS:   11 08:39:11     -172.588486        0.156360
BFGS:   12 08:39:11     -172.592148        0.299228
BFGS:   13 08:39:12     -172.603622        0.639557
BFGS:   14 08:39:12     -172.619263        0.849010
BFGS:   15 08:39:12     -172.637436        0.737466
BFGS:   16 08:39:12     -172.645309        0.315837
BFGS:   17 08:39:13     -172.647736        0.091990
BFGS:   18 08:39:13     -172.648666        0.090726
BFGS:   19 08:39:14     -172.650452        0.156003
BFGS:   20 08:39:14     -172.651489        0.132928
BFGS:   21 08:39:14     -172.651855        0.054023
BFGS:   22 08:39:14     -172.651947        0.025396
      Step     Time          Energy          fmax
BFGS:    0 22:52:06     -172.503952        0.617291
BFGS:    1 22:52:07     -172.519455        0.249911
BFGS:    2 22:52:07     -172.526276        0.222328
BFGS:    3 22:52:07     -172.533173        0.295297
BFGS:    4 22:52:08     -172.544144        0.425365
BFGS:    5 22:52:08     -172.553253        0.331868
BFGS:    6 22:52:08     -172.558472        0.127836
BFGS:    7 22:52:08     -172.562363        0.195285
BFGS:    8 22:52:09     -172.569229        0.317374
BFGS:    9 22:52:09     -172.576797        0.339829
BFGS:   10 22:52:09     -172.583542        0.221917
BFGS:   11 22:52:10     -172.588486        0.156375
BFGS:   12 22:52:10     -172.592148        0.299228
BFGS:   13 22:52:10     -172.603622        0.639541
BFGS:   14 22:52:10     -172.619263        0.849018
BFGS:   15 22:52:11     -172.637436        0.737571
BFGS:   16 22:52:11     -172.645309        0.315965
BFGS:   17 22:52:11     -172.647720        0.091988
BFGS:   18 22:52:12     -172.648651        0.090744
BFGS:   19 22:52:12     -172.650452        0.156249
BFGS:   20 22:52:12     -172.651489        0.133199
BFGS:   21 22:52:12     -172.651855        0.054134
BFGS:   22 22:52:13     -172.651947        0.025327
