      Step     Time          Energy          fmax
BFGS:    0 08:49:36     -161.423325       50.945084
BFGS:    1 08:49:36     -170.181122       10.149049
BFGS:    2 08:49:37     -171.267258        4.806064
BFGS:    3 08:49:37     -171.801544        1.035338
BFGS:    4 08:49:37     -171.896515        1.607148
BFGS:    5 08:49:38     -172.169083        2.597930
BFGS:    6 08:49:38     -172.448425        2.146193
BFGS:    7 08:49:38     -172.727097        1.267269
BFGS:    8 08:49:38     -172.943832        1.337015
BFGS:    9 08:49:39     -173.157059        1.596078
BFGS:   10 08:49:39     -173.491104        1.061606
BFGS:   11 08:49:39     -173.657562        0.557865
BFGS:   12 08:49:40     -173.677948        0.335742
BFGS:   13 08:49:40     -173.689926        0.257068
BFGS:   14 08:49:40     -173.702850        0.265804
BFGS:   15 08:49:41     -173.705429        0.209187
BFGS:   16 08:49:41     -173.710251        0.112405
BFGS:   17 08:49:41     -173.713165        0.071418
BFGS:   18 08:49:42     -173.714447        0.106961
BFGS:   19 08:49:42     -173.714859        0.102015
BFGS:   20 08:49:42     -173.715332        0.076432
BFGS:   21 08:49:42     -173.715851        0.030495
      Step     Time          Energy          fmax
BFGS:    0 23:02:23     -161.423325       50.945091
BFGS:    1 23:02:23     -170.181122       10.149048
BFGS:    2 23:02:24     -171.267258        4.806064
BFGS:    3 23:02:24     -171.801544        1.035338
BFGS:    4 23:02:24     -171.896515        1.607148
BFGS:    5 23:02:24     -172.169083        2.597928
BFGS:    6 23:02:25     -172.448425        2.146193
BFGS:    7 23:02:25     -172.727097        1.267267
BFGS:    8 23:02:25     -172.943832        1.337029
BFGS:    9 23:02:26     -173.157059        1.596094
BFGS:   10 23:02:26     -173.491104        1.061619
BFGS:   11 23:02:26     -173.657547        0.557887
BFGS:   12 23:02:26     -173.677948        0.335742
BFGS:   13 23:02:27     -173.689926        0.257049
BFGS:   14 23:02:27     -173.702850        0.265856
BFGS:   15 23:02:27     -173.705429        0.209173
BFGS:   16 23:02:28     -173.710251        0.112410
BFGS:   17 23:02:28     -173.713165        0.071424
BFGS:   18 23:02:28     -173.714447        0.106981
BFGS:   19 23:02:28     -173.714859        0.102041
BFGS:   20 23:02:29     -173.715332        0.076403
BFGS:   21 23:02:29     -173.715851        0.030504
