      Step     Time          Energy          fmax
BFGS:    0 06:32:32     -172.509369        0.639735
BFGS:    1 06:32:32     -172.524826        0.241415
BFGS:    2 06:32:32     -172.531464        0.217510
BFGS:    3 06:32:33     -172.538223        0.283057
BFGS:    4 06:32:33     -172.549042        0.427691
BFGS:    5 06:32:33     -172.558105        0.344998
BFGS:    6 06:32:34     -172.563263        0.137779
BFGS:    7 06:32:34     -172.566833        0.184983
BFGS:    8 06:32:34     -172.572937        0.299013
BFGS:    9 06:32:34     -172.579727        0.319171
BFGS:   10 06:32:35     -172.585678        0.208868
BFGS:   11 06:32:35     -172.590134        0.141808
BFGS:   12 06:32:36     -172.593765        0.289383
BFGS:   13 06:32:36     -172.604019        0.587332
BFGS:   14 06:32:36     -172.617966        0.753389
BFGS:   15 06:32:36     -172.633102        0.610333
BFGS:   16 06:32:37     -172.639420        0.234300
BFGS:   17 06:32:37     -172.641342        0.101247
BFGS:   18 06:32:37     -172.642334        0.098026
BFGS:   19 06:32:38     -172.643860        0.148924
BFGS:   20 06:32:38     -172.645370        0.106049
BFGS:   21 06:32:39     -172.645691        0.036237
      Step     Time          Energy          fmax
BFGS:    0 20:48:07     -172.509369        0.639736
BFGS:    1 20:48:07     -172.524826        0.241416
BFGS:    2 20:48:08     -172.531464        0.217510
BFGS:    3 20:48:08     -172.538223        0.283058
BFGS:    4 20:48:08     -172.549042        0.427739
BFGS:    5 20:48:08     -172.558105        0.344993
BFGS:    6 20:48:09     -172.563263        0.137778
BFGS:    7 20:48:09     -172.566833        0.185001
BFGS:    8 20:48:09     -172.572937        0.299002
BFGS:    9 20:48:10     -172.579727        0.319160
BFGS:   10 20:48:10     -172.585678        0.208879
BFGS:   11 20:48:10     -172.590134        0.141807
BFGS:   12 20:48:10     -172.593765        0.289449
BFGS:   13 20:48:11     -172.604019        0.587173
BFGS:   14 20:48:11     -172.617966        0.753488
BFGS:   15 20:48:11     -172.633102        0.610492
BFGS:   16 20:48:11     -172.639420        0.234433
BFGS:   17 20:48:12     -172.641342        0.101257
BFGS:   18 20:48:12     -172.642334        0.097996
BFGS:   19 20:48:12     -172.643860        0.148757
BFGS:   20 20:48:12     -172.645370        0.105857
BFGS:   21 20:48:13     -172.645706        0.036185
