      Step     Time          Energy          fmax
BFGS:    0 19:07:06     -166.951477        9.995402
BFGS:    1 19:07:06     -171.067276        2.609496
BFGS:    2 19:07:06     -171.595749        1.535209
BFGS:    3 19:07:07     -171.836578        0.834413
BFGS:    4 19:07:07     -171.928391        1.008351
BFGS:    5 19:07:07     -172.173721        1.333444
BFGS:    6 19:07:07     -172.388596        1.141875
BFGS:    7 19:07:08     -172.531555        0.723702
BFGS:    8 19:07:08     -172.602600        0.387391
BFGS:    9 19:07:08     -172.639069        0.292766
BFGS:   10 19:07:09     -172.652222        0.167694
BFGS:   11 19:07:09     -172.659271        0.189585
BFGS:   12 19:07:09     -172.665054        0.156595
BFGS:   13 19:07:09     -172.669968        0.160730
BFGS:   14 19:07:10     -172.674347        0.126004
BFGS:   15 19:07:10     -172.677246        0.081592
BFGS:   16 19:07:10     -172.678909        0.079433
BFGS:   17 19:07:11     -172.680557        0.091910
BFGS:   18 19:07:11     -172.683212        0.097634
BFGS:   19 19:07:11     -172.686539        0.084735
BFGS:   20 19:07:11     -172.689056        0.111080
BFGS:   21 19:07:12     -172.690933        0.117079
BFGS:   22 19:07:12     -172.694122        0.125972
BFGS:   23 19:07:12     -172.699188        0.144963
BFGS:   24 19:07:12     -172.708206        0.164748
BFGS:   25 19:07:13     -172.719986        0.166703
BFGS:   26 19:07:13     -172.731552        0.317831
BFGS:   27 19:07:13     -172.741806        0.210351
BFGS:   28 19:07:13     -172.719238        1.043467
BFGS:   29 19:07:14     -172.755920        0.200592
BFGS:   30 19:07:14     -172.764465        0.180586
BFGS:   31 19:07:14     -172.768097        0.693054
BFGS:   32 19:07:14     -172.787445        0.132986
BFGS:   33 19:07:15     -172.792084        0.091976
BFGS:   34 19:07:15     -172.794983        0.154024
BFGS:   35 19:07:15     -172.796173        0.082949
BFGS:   36 19:07:15     -172.797913        0.093971
BFGS:   37 19:07:16     -172.799500        0.075766
BFGS:   38 19:07:16     -172.800766        0.028635
      Step     Time          Energy          fmax
BFGS:    0 19:07:36     -166.951492        9.995405
BFGS:    1 19:07:36     -171.067276        2.609494
BFGS:    2 19:07:36     -171.595749        1.535212
BFGS:    3 19:07:36     -171.836578        0.834409
BFGS:    4 19:07:37     -171.928391        1.008347
BFGS:    5 19:07:37     -172.173721        1.333450
BFGS:    6 19:07:37     -172.388596        1.141875
BFGS:    7 19:07:38     -172.531555        0.723686
BFGS:    8 19:07:38     -172.602600        0.387385
BFGS:    9 19:07:38     -172.639069        0.292735
BFGS:   10 19:07:39     -172.652222        0.167695
BFGS:   11 19:07:39     -172.659271        0.189583
BFGS:   12 19:07:39     -172.665054        0.156584
BFGS:   13 19:07:40     -172.669968        0.160694
BFGS:   14 19:07:40     -172.674347        0.126020
BFGS:   15 19:07:40     -172.677246        0.081593
BFGS:   16 19:07:41     -172.678909        0.079433
BFGS:   17 19:07:41     -172.680557        0.091890
BFGS:   18 19:07:41     -172.683212        0.097603
BFGS:   19 19:07:42     -172.686539        0.084742
BFGS:   20 19:07:42     -172.689056        0.111079
BFGS:   21 19:07:43     -172.690933        0.117075
BFGS:   22 19:07:43     -172.694138        0.125969
BFGS:   23 19:07:43     -172.699203        0.144909
BFGS:   24 19:07:43     -172.708206        0.164704
BFGS:   25 19:07:44     -172.720001        0.166720
BFGS:   26 19:07:44     -172.731552        0.318096
BFGS:   27 19:07:44     -172.741806        0.210399
BFGS:   28 19:07:44     -172.719559        1.039861
BFGS:   29 19:07:45     -172.755920        0.200631
BFGS:   30 19:07:45     -172.764481        0.180563
BFGS:   31 19:07:45     -172.768112        0.692920
BFGS:   32 19:07:45     -172.787460        0.133789
BFGS:   33 19:07:45     -172.792099        0.092431
BFGS:   34 19:07:46     -172.794983        0.154037
BFGS:   35 19:07:46     -172.796188        0.082989
BFGS:   36 19:07:46     -172.797913        0.093767
BFGS:   37 19:07:46     -172.799515        0.075374
BFGS:   38 19:07:47     -172.800766        0.028625
      Step     Time          Energy          fmax
BFGS:    0 19:19:45     -166.951477        9.995404
BFGS:    1 19:19:46     -171.067276        2.609494
BFGS:    2 19:19:46     -171.595749        1.535214
BFGS:    3 19:19:46     -171.836578        0.834410
BFGS:    4 19:19:46     -171.928391        1.008349
BFGS:    5 19:19:47     -172.173737        1.333430
BFGS:    6 19:19:47     -172.388596        1.141873
BFGS:    7 19:19:47     -172.531555        0.723691
BFGS:    8 19:19:48     -172.602600        0.387419
BFGS:    9 19:19:48     -172.639069        0.292742
BFGS:   10 19:19:48     -172.652222        0.167700
BFGS:   11 19:19:48     -172.659271        0.189580
BFGS:   12 19:19:49     -172.665054        0.156579
BFGS:   13 19:19:49     -172.669968        0.160688
BFGS:   14 19:19:49     -172.674347        0.125986
BFGS:   15 19:19:49     -172.677246        0.081593
