      Step     Time          Energy          fmax
BFGS:    0 19:54:57     -172.179001        2.416953
BFGS:    1 19:54:57     -172.403091        1.409673
BFGS:    2 19:54:57     -172.605209        0.689494
BFGS:    3 19:54:58     -172.631683        0.486883
BFGS:    4 19:54:58     -172.653519        0.352423
BFGS:    5 19:54:58     -172.668411        0.400521
BFGS:    6 19:54:59     -172.709610        0.537956
BFGS:    7 19:54:59     -172.751755        0.479670
BFGS:    8 19:54:59     -172.780212        0.271338
BFGS:    9 19:55:00     -172.791733        0.185779
BFGS:   10 19:55:00     -172.796906        0.127616
BFGS:   11 19:55:00     -172.799667        0.097946
BFGS:   12 19:55:01     -172.802063        0.071603
BFGS:   13 19:55:01     -172.804245        0.052445
BFGS:   14 19:55:01     -172.805450        0.058380
BFGS:   15 19:55:02     -172.805984        0.045281
      Step     Time          Energy          fmax
BFGS:    0 19:55:55     -172.179001        2.416952
BFGS:    1 19:55:55     -172.403091        1.409673
BFGS:    2 19:55:55     -172.605194        0.689494
BFGS:    3 19:55:56     -172.631683        0.486882
BFGS:    4 19:55:57     -172.653534        0.352425
BFGS:    5 19:55:57     -172.668411        0.400522
BFGS:    6 19:55:57     -172.709610        0.537944
BFGS:    7 19:55:58     -172.751755        0.479637
BFGS:    8 19:55:58     -172.780212        0.271329
BFGS:    9 19:55:58     -172.791748        0.185776
BFGS:   10 19:55:58     -172.796906        0.127617
BFGS:   11 19:55:59     -172.799683        0.097975
BFGS:   12 19:55:59     -172.802063        0.071561
BFGS:   13 19:56:00     -172.804245        0.052443
BFGS:   14 19:56:00     -172.805450        0.058379
BFGS:   15 19:56:00     -172.805984        0.045279
      Step     Time          Energy          fmax
BFGS:    0 19:59:13     -172.179001        2.416952
BFGS:    1 19:59:13     -172.403091        1.409673
BFGS:    2 19:59:13     -172.605194        0.689494
BFGS:    3 19:59:13     -172.631683        0.486879
BFGS:    4 19:59:14     -172.653519        0.352424
BFGS:    5 19:59:14     -172.668411        0.400521
BFGS:    6 19:59:14     -172.709610        0.537957
BFGS:    7 19:59:15     -172.751755        0.479673
BFGS:    8 19:59:15     -172.780212        0.271352
BFGS:    9 19:59:15     -172.791733        0.185780
BFGS:   10 19:59:15     -172.796906        0.127617
BFGS:   11 19:59:15     -172.799683        0.097970
BFGS:   12 19:59:16     -172.802063        0.071562
BFGS:   13 19:59:16     -172.804260        0.052430
BFGS:   14 19:59:16     -172.805450        0.058377
