      Step     Time          Energy          fmax
BFGS:    0 17:59:03     -165.903946       15.595655
BFGS:    1 17:59:03     -171.261917        2.623836
BFGS:    2 17:59:04     -171.561035        1.480397
BFGS:    3 17:59:04     -171.811066        1.146586
BFGS:    4 17:59:04     -171.927063        1.206072
BFGS:    5 17:59:04     -172.127121        1.299036
BFGS:    6 17:59:05     -172.325012        1.129664
BFGS:    7 17:59:05     -172.465790        1.117361
BFGS:    8 17:59:05     -172.560730        0.891685
BFGS:    9 17:59:05     -172.623718        0.677252
BFGS:   10 17:59:06     -172.654404        0.569552
BFGS:   11 17:59:06     -172.672882        0.470307
BFGS:   12 17:59:06     -172.690338        0.404895
BFGS:   13 17:59:06     -172.704880        0.325044
BFGS:   14 17:59:07     -172.714767        0.187702
BFGS:   15 17:59:07     -172.720169        0.173156
BFGS:   16 17:59:07     -172.723877        0.153526
BFGS:   17 17:59:07     -172.728607        0.131790
BFGS:   18 17:59:08     -172.733002        0.098337
BFGS:   19 17:59:08     -172.735886        0.110556
BFGS:   20 17:59:08     -172.737549        0.117044
BFGS:   21 17:59:09     -172.739395        0.125053
BFGS:   22 17:59:09     -172.741882        0.114439
BFGS:   23 17:59:09     -172.744110        0.069613
BFGS:   24 17:59:10     -172.745392        0.076007
BFGS:   25 17:59:10     -172.746109        0.071512
BFGS:   26 17:59:10     -172.747055        0.108465
BFGS:   27 17:59:10     -172.748856        0.156307
BFGS:   28 17:59:10     -172.751556        0.178216
BFGS:   29 17:59:11     -172.754257        0.143183
BFGS:   30 17:59:11     -172.756119        0.087668
BFGS:   31 17:59:11     -172.757568        0.085976
BFGS:   32 17:59:11     -172.759384        0.079597
BFGS:   33 17:59:12     -172.762268        0.116146
BFGS:   34 17:59:12     -172.765381        0.116412
BFGS:   35 17:59:12     -172.767624        0.122029
BFGS:   36 17:59:12     -172.769196        0.121803
BFGS:   37 17:59:13     -172.770950        0.105993
BFGS:   38 17:59:13     -172.773605        0.132379
BFGS:   39 17:59:13     -172.776779        0.138719
BFGS:   40 17:59:14     -172.779236        0.096289
BFGS:   41 17:59:14     -172.780533        0.089180
BFGS:   42 17:59:14     -172.781677        0.078987
BFGS:   43 17:59:15     -172.783798        0.093571
BFGS:   44 17:59:15     -172.786774        0.122748
BFGS:   45 17:59:15     -172.789825        0.134676
BFGS:   46 17:59:16     -172.791718        0.126039
BFGS:   47 17:59:16     -172.793259        0.108899
BFGS:   48 17:59:16     -172.795441        0.089396
BFGS:   49 17:59:17     -172.798386        0.093474
BFGS:   50 17:59:17     -172.801453        0.100039
BFGS:   51 17:59:17     -172.803955        0.075515
