      Step     Time          Energy          fmax
BFGS:    0 23:31:04     -172.696182        0.610652
BFGS:    1 23:31:05     -172.715637        0.570348
BFGS:    2 23:31:05     -172.767944        1.088107
BFGS:    3 23:31:05     -172.816406        1.513556
BFGS:    4 23:31:06     -172.832062        1.758837
BFGS:    5 23:31:06     -172.916351        1.667225
BFGS:    6 23:31:07     -172.994171        1.681044
BFGS:    7 23:31:07     -173.146347        3.241670
BFGS:    8 23:31:07     -173.370300        1.130458
BFGS:    9 23:31:08     -173.594772        0.477723
BFGS:   10 23:31:08     -173.625504        1.381062
BFGS:   11 23:31:08     -173.658020        0.246604
BFGS:   12 23:31:09     -173.663040        0.157040
BFGS:   13 23:31:09     -173.670700        0.263647
BFGS:   14 23:31:09     -173.676407        0.266798
BFGS:   15 23:31:10     -173.679199        0.161279
BFGS:   16 23:31:10     -173.681259        0.106556
BFGS:   17 23:31:10     -173.685455        0.199747
BFGS:   18 23:31:10     -173.692795        0.287586
BFGS:   19 23:31:11     -173.701706        0.260313
BFGS:   20 23:31:11     -173.706467        0.118109
BFGS:   21 23:31:11     -173.707642        0.057029
BFGS:   22 23:31:12     -173.708160        0.050619
BFGS:   23 23:31:12     -173.708786        0.078979
BFGS:   24 23:31:12     -173.709579        0.084365
BFGS:   25 23:31:12     -173.710190        0.049977
      Step     Time          Energy          fmax
BFGS:    0 23:31:46     -172.696198        0.610650
BFGS:    1 23:31:47     -172.715622        0.570347
BFGS:    2 23:31:47     -172.767944        1.088110
BFGS:    3 23:31:47     -172.816406        1.513570
BFGS:    4 23:31:48     -172.832077        1.758748
BFGS:    5 23:31:48     -172.916351        1.667251
BFGS:    6 23:31:48     -172.994202        1.681037
BFGS:    7 23:31:49     -173.146561        3.239952
BFGS:    8 23:31:49     -173.370346        1.131865
BFGS:    9 23:31:49     -173.594803        0.477029
BFGS:   10 23:31:49     -173.625488        1.381935
BFGS:   11 23:31:50     -173.658020        0.246605
BFGS:   12 23:31:50     -173.663040        0.157065
BFGS:   13 23:31:50     -173.670685        0.263495
BFGS:   14 23:31:51     -173.676407        0.266981
BFGS:   15 23:31:51     -173.679199        0.161361
BFGS:   16 23:31:51     -173.681259        0.106562
BFGS:   17 23:31:52     -173.685455        0.199827
BFGS:   18 23:31:52     -173.692810        0.287474
BFGS:   19 23:31:52     -173.701706        0.260324
BFGS:   20 23:31:52     -173.706467        0.118092
BFGS:   21 23:31:53     -173.707642        0.057035
BFGS:   22 23:31:53     -173.708160        0.050618
BFGS:   23 23:31:53     -173.708786        0.079129
BFGS:   24 23:31:53     -173.709595        0.084515
BFGS:   25 23:31:54     -173.710190        0.050114
BFGS:   26 23:31:54     -173.710373        0.011467
      Step     Time          Energy          fmax
BFGS:    0 06:02:24     -172.696198        0.610650
BFGS:    1 06:02:24     -172.715622        0.570347
BFGS:    2 06:02:24     -172.767944        1.088110
BFGS:    3 06:02:25     -172.816406        1.513570
BFGS:    4 06:02:25     -172.832077        1.758748
BFGS:    5 06:02:25     -172.916351        1.667251
BFGS:    6 06:02:26     -172.994202        1.681037
BFGS:    7 06:02:26     -173.146561        3.239952
BFGS:    8 06:02:26     -173.370346        1.131865
BFGS:    9 06:02:26     -173.594803        0.477029
BFGS:   10 06:02:27     -173.625488        1.381935
BFGS:   11 06:02:27     -173.658020        0.246605
BFGS:   12 06:02:27     -173.663040        0.157065
BFGS:   13 06:02:28     -173.670685        0.263495
BFGS:   14 06:02:28     -173.676407        0.266981
BFGS:   15 06:02:29     -173.679199        0.161361
BFGS:   16 06:02:29     -173.681259        0.106562
BFGS:   17 06:02:30     -173.685455        0.199827
BFGS:   18 06:02:30     -173.692810        0.287474
BFGS:   19 06:02:30     -173.701706        0.260324
BFGS:   20 06:02:30     -173.706467        0.118092
BFGS:   21 06:02:31     -173.707642        0.057035
BFGS:   22 06:02:31     -173.708160        0.050618
BFGS:   23 06:02:31     -173.708786        0.079129
BFGS:   24 06:02:32     -173.709595        0.084515
BFGS:   25 06:02:32     -173.710190        0.050114
BFGS:   26 06:02:32     -173.710373        0.011467
